날짜,금,은,유가,코스피,나스닥,테슬라,비트코인
2011-01-03,1422.6,31.096,91.55,2070.08,2254.23,5.32,0.3
2011-01-04,1378.5,29.491999999999997,89.38,2085.14,2251.46,5.33,0.3
2011-01-05,1373.4,29.173000000000002,90.3,2082.55,2270.4,5.37,0.3
2011-01-06,1371.4,29.11,88.38,2077.61,2277.51,5.58,0.3
2011-01-07,1368.5,28.660999999999998,88.03,2086.2,2276.7,5.65,0.3
2011-01-10,1373.7,28.851,89.25,2080.81,2284.38,5.69,0.3
2011-01-11,1384.0,29.49,91.11,2088.32,2288.73,5.39,0.3
2011-01-12,1385.7,29.531999999999996,91.86,2094.95,2304.88,5.39,0.3
2011-01-13,1386.9,29.252,91.4,2089.48,2305.53,5.24,0.3
2011-01-14,1360.4,28.309,91.54,2108.17,2323.43,5.15,0.4
2011-01-18,1368.1,28.901,91.38,2096.48,2328.79,5.13,0.3
2011-01-19,1370.2,28.791999999999998,90.86,2115.69,2303.32,4.81,0.3
2011-01-20,1346.5,27.459,88.86,2106.66,2286.08,4.52,0.4
2011-01-21,1341.0,27.416,89.11,2069.92,2268.32,4.61,0.4
2011-01-24,1344.5,27.318,87.87,2082.16,2300.39,4.9,0.4
2011-01-25,1332.3,26.811,86.19,2086.67,2304.03,4.94,0.4
2011-01-26,1333.0,27.131999999999998,87.33,2110.46,2314.19,4.95,0.4
2011-01-27,1318.4,27.045,85.64,2115.01,2330.07,4.98,0.4
2011-01-28,1340.7,27.934,89.34,2107.87,2270.51,4.8,0.4
2011-01-31,1333.8,28.174,92.19,2069.73,2281.91,4.82,0.5
2011-02-01,1339.6,28.524,90.77,2072.03,2324.95,4.78,0.7
2011-02-02,1331.5,28.299,90.86,0.0,2321.09,4.79,0.7
2011-02-03,1352.3,28.733,90.54,0.0,2323.07,4.73,0.7
2011-02-04,1348.3,29.064,89.03,0.0,2338.2,4.69,0.8
2011-02-07,1347.6,29.348000000000003,87.48,2081.74,2349.2,4.61,0.9
2011-02-08,1363.4,30.271,86.94,2069.7,2363.61,4.9,0.9
2011-02-09,1364.8,30.273000000000003,86.71,2045.58,2360.95,4.64,1.1
2011-02-10,1361.9,30.090999999999998,86.73,2008.5,2364.35,4.64,1.0
2011-02-11,1359.9,29.991999999999997,85.58,1977.19,2379.15,4.65,1.1
2011-02-14,1364.6,30.529,84.81,2014.59,2385.6,4.62,1.1
2011-02-15,1373.6,30.693,84.32,2010.52,2381.92,4.57,1.0
2011-02-16,1374.7,30.63,84.99,1989.11,2397.94,4.95,1.0
2011-02-17,1384.7,31.572,86.36,1977.22,2397.57,4.72,1.0
2011-02-18,1388.2,32.298,86.2,2013.14,2392.47,4.64,0.9
2011-02-22,1400.5,32.864000000000004,93.57,1969.92,2322.86,4.37,0.9
2011-02-23,1413.4,33.302,98.1,1961.63,2300.94,4.37,0.9
2011-02-24,1415.3,33.179,97.28,1949.88,2313.31,4.51,1.0
2011-02-25,1408.7,32.898,97.88,1963.43,2346.29,4.72,0.9
2011-02-28,1409.3,33.804,96.97,1939.3,2350.99,4.78,0.9
2011-03-01,1430.7,34.416,99.63,0.0,2315.26,4.79,0.9
2011-03-02,1437.2,34.825,102.23,1928.24,2326.77,4.8,0.9
2011-03-03,1416.0,34.313,101.91,1970.66,2371.76,4.87,0.9
2011-03-04,1428.2,35.317,104.42,2004.68,2359.96,4.99,0.9
2011-03-07,1434.1,35.855,105.44,1980.27,2328.07,4.99,0.9
2011-03-08,1426.9,35.653,105.02,1996.32,2337.55,4.93,0.9
2011-03-09,1429.3,36.043,104.38,2001.47,2322.69,4.94,0.9
2011-03-10,1412.2,35.064,102.7,1981.58,2284.29,4.8,0.9
2011-03-11,1421.5,35.933,101.16,1955.54,2299.26,4.81,0.9
2011-03-14,1424.6,35.825,101.19,1971.23,2290.72,4.65,0.9
2011-03-15,1392.6,34.116,97.18,1923.92,2259.62,4.59,0.9
2011-03-16,1396.0,34.471,97.98,1957.97,2202.97,4.56,0.9
2011-03-17,1404.0,34.26,101.42,1959.03,2225.24,4.56,0.8
2011-03-18,1415.9,35.06,101.07,1981.13,2221.07,4.59,0.8
2011-03-21,1426.2,36.001999999999995,102.33,2003.42,2262.7,4.55,0.8
2011-03-22,1427.5,36.271,104.0,2013.66,2257.96,4.44,0.8
2011-03-23,1437.9,37.202,105.75,2012.18,2270.5,4.44,0.8
2011-03-24,1434.8,37.388000000000005,105.6,2036.78,2312.09,4.47,0.9
2011-03-25,1426.1,37.058,105.4,2054.04,2316.36,4.55,0.9
2011-03-28,1419.8,37.097,103.98,2056.39,2303.1,4.65,0.8
2011-03-29,1416.0,36.977,104.79,2072.13,2325.54,4.78,0.8
2011-03-30,1423.8,37.501,104.27,2091.38,2336.52,4.74,0.8
2011-03-31,1438.9,37.872,106.72,2106.7,2338.99,5.55,0.8
2011-04-01,1428.1,37.736999999999995,107.94,2121.01,2342.92,5.33,0.8
2011-04-04,1432.2,38.484,108.47,2115.87,2334.54,5.17,0.7
2011-04-05,1451.8,39.175,108.34,2130.43,2327.87,5.34,0.7
2011-04-06,1457.7,39.384,108.83,2126.71,2332.34,5.3,0.7
2011-04-07,1458.5,39.542,110.3,2122.14,2332.88,5.45,0.8
2011-04-08,1473.4,40.6,112.79,2127.97,2321.18,5.3,0.8
2011-04-11,1467.4,40.604,109.92,2122.39,2314.5,5.05,0.8
2011-04-12,1452.9,40.058,106.25,2089.4,2298.3,4.93,0.9
2011-04-13,1454.9,40.235,107.11,2121.92,2316.63,4.99,0.9
2011-04-14,1471.7,41.661,108.11,2141.06,2311.25,5.03,1.0
2011-04-15,1485.3,42.566,109.66,2140.5,2307.58,5.12,1.0
2011-04-18,1492.3,42.957,107.12,2137.72,2292.34,5.01,1.2
2011-04-19,1494.5,43.919,108.15,2122.68,2306.77,5.03,1.2
2011-04-20,1498.3,44.465,111.45,2169.91,2357.76,5.15,1.1
2011-04-21,1503.2,46.062,112.29,2198.54,2377.3,5.35,1.2
2011-04-25,1508.6,47.151,112.28,2216.0,2383.72,5.28,1.6
2011-04-26,1503.0,45.058,112.21,2206.3,2396.03,5.39,1.8
2011-04-27,1516.7,45.964,112.76,2206.7,2413.59,5.42,1.9
2011-04-28,1530.8,47.52,112.86,2208.35,2409.9,5.53,2.2
2011-04-29,1556.0,48.583999999999996,113.93,2192.36,2404.08,5.52,2.9
2011-05-02,1556.7,46.078,113.52,2228.96,2404.24,5.49,3.2
2011-05-03,1540.1,42.576,111.05,2200.73,2392.8,5.37,3.4
2011-05-04,1514.9,39.383,109.24,2180.64,2387.51,5.34,3.4
2011-05-05,1480.9,36.231,99.8,0.0,2375.21,5.29,3.3
2011-05-06,1491.2,35.283,97.18,2147.45,2383.18,5.42,3.5
2011-05-09,1502.9,37.11,102.55,2139.17,2390.97,5.58,3.8
2011-05-10,1516.6,38.48,103.88,0.0,2411.35,5.67,5.8
2011-05-11,1501.1,35.509,98.21,2166.63,2393.08,5.41,5.5
2011-05-12,1506.6,34.793,98.97,2122.65,2407.89,5.53,6.3
2011-05-13,1493.4,35.010999999999996,99.65,2120.08,2379.24,5.51,8.2
2011-05-16,1490.4,34.129,97.37,2104.18,2337.85,5.32,8.0
2011-05-17,1479.8,33.488,96.91,2102.41,2343.51,5.19,7.2
2011-05-18,1495.6,35.094,100.1,2135.78,2362.95,5.27,6.9
2011-05-19,1492.2,34.927,98.44,2095.51,2369.67,5.64,6.8
