,과 목,제 62 (당) 2분기,제 61 (전) 기,제 60 (전전) 기
0,Ⅰ.현금및현금성자산(주석 37),2286719,4723503,2276606
1,"Ⅱ.당기손익인식금융자산(주석 4,9)",3326620,2094584,2337133
2,"Ⅲ.매도가능금융자산(주석 5,9)",146016126,138214702,131894930
3,"Ⅳ.만기보유금융자산(주석 6,9)",298732,328992,421906
4,"V.대출채권및기타수취채권(주석 7,9)",62342551,60503788,36462636
5,"Ⅵ.위험회피목적파생상품자산(주석 8,9)",294781,314897,82796
6,Ⅶ.관계기업투자(주석 10),1584932,1490325,2603098
7,"Ⅷ.금융리스채권(주석 7,9)",662338,792448,-
8,IX.매각예정자산(주석 41),45507,260415,6530
9,X.투자부동산(주석 11),6769910,6854774,7555922
10,XI.유형자산(주석 12),1211600,1454095,1756873
11,XII.무형자산(주석 13),880776,876511,520765
12,XIII.당기법인세자산,273599,198549,171289
13,XIV.이연법인세자산(주석 20),492,5322,-
14,XV.기타자산(주석 14),4955969,5035748,4686714
15,XVI.특별계정자산(주석 15),45227355,41505148,39585698
16,자 산 총 계,"276,178,007==================","264,653,801==================","230,362,896=================="
17,,,,
18,Ⅰ.보험계약부채(주석 16),162983647,158729147,149118213
19,Ⅱ.계약자지분조정(주석 18),9711270,8075517,6969288
20,"Ⅲ.당기손익인식금융부채(주석 9,19)",31837,71468,47981
21,"Ⅳ.기타금융부채(주석 9,19)",18271087,18546201,4202160
22,"Ⅴ.위험회피목적파생상품부채(주석 8,9)",373963,721269,620184
23,Ⅵ.당기법인세부채,67769,69599,15174
24,Ⅶ.이연법인세부채(주석 20),6114834,4976383,4427612
25,Ⅷ.충당부채(주석 21),286293,309532,162282
26,Ⅸ.기타부채(주석 22),1033229,988811,506663
27,X.특별계정부채(주석 15),45445545,43857426,40571594
28,부 채 총 계,244319474,236345353,206641151
29,,,,
30,Ⅰ.지배기업주주지분,30174616,26644237,23645836
31,1.자본금(주석 23),100000,100000,100000
32,2.자본잉여금(주석 23),63084,63084,6131
33,3.자본조정(주석 23),"(2,117,768)","(2,117,768)","(1,575,774)"
34,4.기타포괄손익누계액(주석 23),18109402,15310260,13548291
35,5.이익잉여금(주석 23),14019898,13288661,11567188
36,Ⅱ.비지배주주지분(주석 1),1683917,1664211,75909
37,자 본 총 계,31858533,28308448,23721745
38,,,,
39,부 채 와 자 본 총 계,"276,178,007=================","264,653,801===================","230,362,896==================="
