,과 목,제 63기 2분기(2018년 6월말),제 62 기(2017년 12월말),제 61 기(2016년 12월말)
0,Ⅰ.현금및현금성자산,3402460,4055552,4723503
1,Ⅱ.당기손익인식금융자산,4836694,2861654,2094584
2,Ⅲ.매도가능금융자산,144396901,146042900,138214702
3,Ⅳ.만기보유금융자산,281229,297696,328992
4,V.대출채권및기타수취채권,69167165,67072166,60503788
5,Ⅵ.위험회피목적파생상품자산,556223,689402,314897
6,Ⅶ.관계기업투자,1691982,1629010,1490325
7,Ⅷ.금융리스채권,449117,559238,792448
8,IX.매각예정자산,-,49691,260415
9,X.투자부동산,7239273,6812422,6854774
10,XI.유형자산,1007796,1065818,1454095
11,XII.무형자산,967856,1004315,876511
12,XIII.당기법인세자산,32799,543749,198549
13,XIV.이연법인세자산,-,765,5322
14,XV.기타자산,4604339,4705774,5035748
15,XVI.특별계정자산,46571537,45323665,41505148
16,자 산 총 계,"285,205,371==================","282,713,817==================","264,653,801=================="
17,,,,
18,Ⅰ.보험계약부채,170430734,166897872,158729147
19,Ⅱ.계약자지분조정,8419310,9599619,8075517
20,Ⅲ.당기손익인식금융부채,71860,15441,71468
21,Ⅳ.기타금융부채,21926486,19663333,18546201
22,Ⅴ.위험회피목적파생상품부채,336179,239429,721269
23,Ⅵ.당기법인세부채,613216,78715,69599
24,Ⅶ.이연법인세부채,5516809,6668710,4976383
25,Ⅷ.충당부채,294574,239350,309532
26,Ⅸ.기타부채,977605,1009339,988811
27,X.특별계정부채,46708633,47180437,43857426
28,부 채 총 계,255295406,251592245,236345353
29,,,,
30,Ⅰ.지배기업주주지분,28234042,29358947,26644237
31,1.자본금,100000,100000,100000
32,2.자본잉여금,91844,63084,63084
33,3.자본조정,"(2,116,955)","(2,116,955)","(2,117,768)"
34,4.기타포괄손익누계액,14832609,17073526,15310260
35,5.이익잉여금,15326544,14239292,13288661
36,Ⅱ.비지배주주지분,1675923,1762625,1664211
37,자 본 총 계,29909965,31121572,28308448
38,,,,
39,부 채 와 자 본 총 계,"285,205,371 ==================","282,713,817==================","264,653,801==================="
