,과 목,제 63 (당) 기 2분기,제 62 (전) 기 2분기,제 62 (전) 기,제 61 (전전) 기
0,Ⅰ.영업수익,17242041,16273490,31959034,30428633
1,1.보험료수익,8050874,8510477,16645815,16768276
2,2.재보험수익,145802,135256,301546,278207
3,3.이자수익,3470276,3344053,6803907,6681999
4,4.당기손익인식금융자산관련이익,186422,272991,522882,356218
5,5.매도가능금융자산관련이익,1220216,66642,96079,197166
6,6.대출채권및기타수취채권관련이익,-,-,-,-
7,7.위험회피목적파생상품관련이익,158156,549897,1214034,275110
8,8.외환거래이익,630627,275762,420593,553611
9,9.수수료수익,1159502,1092732,2235539,2062554
10,10.배당금수익,646013,539890,791569,450646
11,11.임대료수익,205924,207473,413564,437955
12,12.특별계정수입수수료,822137,767358,1568717,1442637
13,13.특별계정수익,258427,228538,468265,393717
14,14.기타영업수익,116167,147687,191221,260915
15,15.리스수익,171498,134734,285303,269622
16,,,,,
17,Ⅱ.영업비용,15249677,14931385,30268428,29442112
18,1.보험계약부채전입액,3211071,4034125,7625987,9241518
19,2.지급보험금,6572643,5705602,11909948,10610167
20,3.재보험비용,186463,165789,339230,311242
21,4.사업비,1106063,761215,1764161,1523630
22,5.신계약비상각비,775511,1030751,1967010,2123811
23,6.재산관리비,161555,165181,333391,356139
24,7.이자비용,227511,209902,445020,415263
25,8.당기손익인식금융자산관련손실,240423,179718,370233,318862
26,9.매도가능금융자산관련손실,5794,2055,60859,145150
27,10.대출채권및기타수취채권관련손실,181988,129889,291292,305978
28,11.위험회피목적파생상품관련손실,503985,237884,359291,468041
29,12.외환거래손실,195415,632269,1419784,356116
30,13.특별계정비용,258427,228538,468265,393717
31,14.기타영업비용,1622828,1448467,2913957,2872478
32,,,,,
33,Ⅲ.영업이익,1992364,1342105,1690606,986521
34,,,,,
35,Ⅳ.영업외수익,105601,80916,178496,2645582
36,,,,,
37,Ⅴ.영업외비용,77543,98984,186330,1024627
38,,,,,
39,Ⅵ.법인세비용차감전연결순이익,2020422,1324037,1682772,2607476
40,,,,,
41,Ⅶ.법인세비용,530678,323192,419565,457520
42,,,,,
43,Ⅷ.당분기연결순이익,1489744,1000845,1263207,2149956
44,,,,,
45,IX.법인세비용차감후기타포괄손익,"(2,245,505)",2804258,1781097,1772784
46,1.후속적으로 당기손익으로 재분류될 수 있는 포괄손익,"(2,243,108)",2804471,1767365,1790977
47,가.매도가능금융자산평가손익,"(2,416,129)",2767311,1840459,1796574
48,나.만기보유금융자산평가손익,(16),(102),(186),(293)
49,다.위험회피목적파생상품평가손익,102555,"(8,229)","(27,878)",76994
50,라.관계기업의 기타포괄손익지분,9170,3168,3918,42041
51,마.특별계정기타포괄손익,10189,1074,"(36,173)","(25,985)"
52,바.해외사업환산손익,51123,41249,"(12,775)","(98,354)"
53,2.당기손익으로 재분류되지 않는 포괄손익,"(2,397)",(213),13732,"(18,193)"
54,가.순확정급여부채 재측정요소,"(2,397)",(213),13732,"(18,193)"
55,,,,,
56,X.분기연결총포괄이익,"(755,761)",3805103,3044304,3922740
57,,,,,
58,XI.분기연결순이익(손실)의 귀속,1489744,1000845,1263207,2149956
59,지배기업의소유지분,1445939,946727,1166121,2054267
60,비지배지분,43805,54118,97086,95689
61,,,,,
62,XII. 분기연결총포괄이익(손실)의 귀속,"(755,761)",3805103,3044304,3922740
63,지배기업의소유지분,"(794,978)",3745869,2929387,3816236
64,비지배지분,39217,59234,114917,106504
65,,,,,
66,XⅢ.지배기업주주지분에대한 주당이익(단위: 원),,,,
67,기본주당이익,8052,5272,6494,11407
68,희석주당이익,8052,5272,6494,11407
