,과 목,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,비지배지분,총 계
,과 목,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,지배기업소유지분소 계,비지배지분,총 계
0,2016. 1.1 (전전기초),100000,6131,"(1,575,774)",13548291,11567188,23645836,75909,23721745
1,Ⅰ.당기연결총포괄손익,,,,,,,,
2,1.당기연결순이익,-,-,-,-,2054267,2054267,95689,2149956
3,2.매도가능금융자산평가손익,-,-,-,1787045,-,1787045,9529,1796574
4,3.만기보유금융자산평가손익,-,-,-,(293),-,(293),-,(293)
5,4.위험회피목적파생상품평가손익,-,-,-,75860,-,75860,1134,76994
6,5.관계기업의기타포괄손익,-,-,-,42041,-,42041,-,42041
7,6.특별계정기타포괄손익,-,-,-,"(25,985)",-,"(25,985)",-,"(25,985)"
8,7.해외사업환산손익,-,-,-,"(96,878)",-,"(96,878)","(1,476)","(98,354)"
9,8.순확정급여부채재측정요소,-,-,-,"(19,821)",-,"(19,821)",1628,"(18,193)"
10,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
11,1.연차배당,-,-,-,-,"(332,794)","(332,794)","(113,302)","(446,096)"
12,2.자기주식의 취득,-,-,"(541,994)",-,-,"(541,994)",-,"(541,994)"
13,3.유상증자,-,-,-,-,-,-,12176,12176
14,4.연결범위변동,-,-,-,-,-,-,1871916,1871916
15,5.기타,-,56953,-,-,-,56953,"(288,992)","(232,039)"
16,2016. 12.31 (전전기말),"100,000==========","63,084==========","(2,117,768)==========","15,310,260==========","13,288,661==========","26,644,237==========","1,664,211==========","28,308,448=========="
17,2017. 1.1 (전기초),100000,63084,"(2,117,768)",15310260,13288661,26644237,1664211,28308448
18,Ⅰ.당기연결총포괄손익,,,,,,,,
19,1.당기연결순이익,-,-,-,-,1166121,1166121,97086,1263207
20,2.매도가능금융자산평가손익,-,-,-,1826723,-,1826723,13736,1840459
21,3.만기보유금융자산평가손익,-,-,-,(186),-,(186),-,(186)
22,4.위험회피목적파생상품평가손익,-,-,-,"(32,331)",-,"(32,331)",4453,"(27,878)"
23,5.관계기업의기타포괄손익,-,-,-,3918,-,3918,-,3918
24,6.특별계정기타포괄손익,-,-,-,"(36,173)",-,"(36,173)",-,"(36,173)"
25,7.해외사업환산손익,-,-,-,"(11,353)",-,"(11,353)","(1,422)","(12,775)"
26,8.순확정급여부채재측정요소,-,-,-,12668,-,12668,1064,13732
27,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
28,1.연차배당,-,-,-,-,"(215,490)","(215,490)","(39,528)","(255,018)"
29,2.유상증자,-,-,813,-,-,813,23025,23838
30,2017. 12.31 (전기말),"100,000==========","63,084==========","(2,116,955)==========","17,073,526==========","14,239,292==========","29,358,947==========","1,762,625==========","31,121,572=========="
31,2017. 1.1 (전기초),100000,63084,"(2,117,768)",15310260,13288661,26644237,1664211,28308448
32,Ⅰ.분기연결총포괄손익,,,,,,,,
33,1.분기연결순이익,-,-,-,-,946727,946727,54118,1000845
34,2.매도가능금융자산평가손익,-,-,-,2762425,-,2762425,4886,2767311
35,3.만기보유금융자산평가손익,-,-,-,(102),-,(102),-,(102)
36,4.위험회피목적파생상품평가손익,-,-,-,"(9,786)",-,"(9,786)",1557,"(8,229)"
37,5.관계기업의 기타포괄손익지분,-,-,-,3168,-,3168,-,3168
38,6.특별계정기타포괄손익,-,-,-,1074,-,1074,-,1074
39,7.해외사업환산손익,-,-,-,42692,-,42692,"(1,443)",41249
40,8.순확정급여부채 재측정요소,-,-,-,(329),-,(329),116,(213)
41,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
42,1.연차배당,-,-,-,-,"(215,490)","(215,490)","(39,528)","(255,018)"
43,2017. 6.30 (전반기말),"100,000==========","63,084==========","(2,117,768)==========","18,109,402==========","14,019,898==========","30,174,616==========","1,683,917==========","31,858,533=========="
44,2018. 1.1 (당기초),100000,63084,"(2,116,955)",17073526,14239292,29358947,1762625,31121572
45,Ⅰ.분기연결총포괄손익,,,,,,,,
46,1.분기연결순이익,-,-,-,-,1445939,1445939,43805,1489744
47,2.매도가능금융자산평가손익,-,-,-,"(2,417,292)",-,"(2,417,292)",1163,"(2,416,129)"
48,3.만기보유금융자산평가손익,-,-,-,(16),-,(16),-,(16)
49,4.위험회피목적파생상품평가손익,-,-,-,111868,-,111868,"(9,313)",102555
50,5.관계기업의 기타포괄손익지분,-,-,-,9170,-,9170,-,9170
51,6.특별계정기타포괄손익,-,-,-,10189,-,10189,-,10189
52,7.해외사업환산손익,-,-,-,47564,-,47564,3559,51123
53,8.순확정급여부채 재측정요소,-,-,-,"(2,400)",-,"(2,400)",3,"(2,397)"
54,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
55,1.연차배당,-,-,-,-,"(359,150)","(359,150)","(39,528)","(398,678)"
56,2.연결범위변동,,,-,,463,463,-,463
57,3.기타,,28760,-,,-,28760,"(86,391)","(57,631)"
58,2018. 6.30 (당반기말),"100,000==========","91,844==========","(2,116,955)==========","14,832,609==========","15,326,544==========","28,234,042==========","1,675,923==========","29,909,965=========="
