,과 목,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,비지배지분,총 계
,과 목,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,지배기업소유지분소 계,비지배지분,총 계
0,2017. 1.1 (전전기초),100000,63084,"(2,117,768)",15310260,13288661,26644237,1664211,28308448
1,Ⅰ.당기연결총포괄손익,,,,,,,,
2,1.당기연결순이익,-,-,-,-,1166121,1166121,97086,1263207
3,2.매도가능금융자산평가손익,-,-,-,1826723,-,1826723,13736,1840459
4,3.만기보유금융자산평가손익,-,-,-,(186),-,(186),-,(186)
5,4.위험회피목적파생상품평가손익,-,-,-,"(32,331)",-,"(32,331)",4453,"(27,878)"
6,5.관계기업의기타포괄손익,-,-,-,3918,-,3918,-,3918
7,6.특별계정기타포괄손익,-,-,-,"(36,173)",-,"(36,173)",-,"(36,173)"
8,7.해외사업환산손익,-,-,-,"(11,353)",-,"(11,353)","(1,422)","(12,775)"
9,8.순확정급여부채재측정요소,-,-,-,12668,-,12668,1064,13732
10,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
11,1.연차배당,-,-,-,-,"(215,490)","(215,490)","(39,528)","(255,018)"
12,2.유상증자,-,-,813,-,-,813,23025,23838
13,2017. 12.31 (전전기말),"100,000==========","63,084==========","(2,116,955)==========","17,073,526==========","14,239,292==========","29,358,947==========","1,762,625==========","31,121,572=========="
14,2018.1.1 (전기초),100000,63084,"(2,116,955)",17073526,14239292,29358947,1762625,31121572
15,Ⅰ.반기연결총포괄손익,,,,,,,,
16,1.반기연결순이익,-,-,-,-,1445939,1445939,43805,1489744
17,2.매도가능금융자산평가손익,-,-,-,"(2,417,292)",-,"(2,417,292)",1163,"(2,416,129)"
18,3.만기보유금융자산평가손익,-,-,-,(16),-,(16),-,(16)
19,4.위험회피목적파생상품평가손익,-,-,-,111868,-,111868,"(9,313)",102555
20,5.관계기업의 기타포괄손익지분,-,-,-,9170,-,9170,-,9170
21,6.특별계정기타포괄손익,-,-,-,10189,-,10189,-,10189
22,7.해외사업환산손익,-,-,-,47564,-,47564,3559,51123
23,8.순확정급여부채 재측정요소,-,-,-,"(2,400)",-,"(2,400)",3,"(2,397)"
24,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
25,1.연차배당,-,-,-,-,"(359,150)","(359,150)","(39,528)","(398,678)"
26,2.지분법이익잉여금변동,-,-,-,-,463,463,-,463
27,3.기타,,28760,-,-,-,28760,"(86,391)","(57,631)"
28,2018.6.30 (전반기말),"100,000==========","91,844==========","(2,116,955)==========","14,832,609==========","15,326,544==========","28,234,042==========","1,675,923==========","29,909,965=========="
29,2019.1.1 (당기초),100000,125115,"(2,116,955)",15245998,15547936,28902094,1603365,30505459
30,Ⅰ.반기연결총포괄손익,,,,,,,,
31,1.반기연결순이익,-,-,-,-,756606,756606,37427,794033
32,2.매도가능금융자산평가손익,-,-,-,4727562,-,4727562,5679,4733241
33,3.만기보유금융자산평가손익,-,-,-,-,-,-,-,-
34,4.위험회피목적파생상품평가손익,-,-,-,"(13,189)",-,"(13,189)","(9,992)","(23,181)"
35,5.관계기업의 기타포괄손익지분,-,-,-,8988,-,8988,-,8988
36,6.특별계정기타포괄손익,-,-,-,102136,-,102136,-,102136
37,7.해외사업환산손익,-,-,-,52273,-,52273,4295,56568
38,8.순확정급여부채 재측정요소,-,-,-,(866),-,(866),3,(863)
39,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
40,1.연차배당,-,-,-,-,"(475,873)","(475,873)","(37,530)","(513,403)"
41,2.지분법이익잉여금변동,-,-,-,-,-,-,-,-
42,3.기타,-,-,-,-,-,-,2964,2964
43,2019.6.30 (당반기말),"100,000==========","125,115 ==========","(2,116,955)==========","20,122,902 ==========","15,828,669 ==========","34,059,731 ==========","1,606,211 ==========","35,665,942 =========="
