,과 목,제 63 (당) 2분기,제 63 (당) 2분기.1,제 62 (전) 2분기,제 62 (전) 2분기.1,제 62 (전) 기,제 62 (전) 기.1,제 61 (전전) 기,제 61 (전전) 기.1
0,Ⅰ.영업활동으로부터의 현금흐름,,"(1,183,720)",,"(1,108,592)",,1608186,,4834400
1,1. 영업활동에서 창출된 현금흐름,"(5,300,383)",,"(4,635,735)",,"(5,063,975)",,"(1,452,282)",
2,가. 분기순이익,1489744,,1000845,,1263207,,2149956,
3,나. 손익조정사항,"(217,939)",,1858253,,3447084,,4123921,
4,다. 자산ㆍ부채의 증감,"(6,572,188)",,"(7,494,833)",,"(9,774,266)",,"(7,726,159)",
5,2. 이자의 수취,3485071,,3298775,,6678669,,6666585,
6,3. 이자의 지급,"(200,122)",,"(166,458)",,"(346,715)",,"(333,251)",
7,4. 배당금 수입,644563,,531185,,773515,,448334,
8,5. 법인세부담액,187151,,"(136,359)",,"(433,308)",,"(494,986)",
9,Ⅱ. 투자활동으로부터의 현금흐름,,"(1,466,569)",,"(2,462,744)",,"(3,835,319)",,"(2,934,095)"
10,1. 매도가능금융자산의 처분,6425211,,4610365,,8471322,,11222559,
11,2. 매도가능금융자산의 취득,"(7,585,294)",,"(7,416,205)",,"(12,506,795)",,"(13,504,092)",
12,3. 만기보유금융자산의 증감,16260,,30599,,31713,,94548,
13,4. 위험회피목적파생상품자산의 정산,33892,,"(53,109)",,"(68,383)",,"(140,929)",
14,5. 관계기업투자주식의 처분,2822,,7042,,15820,,26441,
15,6. 관계기업투자주식의 취득,"(5,904)",,"(89,485)",,"(91,537)",,"(502,533)",
16,7. 매각예정자산의 처분,567177,,633535,,855826,,786999,
17,8. 투자부동산 및 유형자산의 취득,"(879,557)",,"(138,167)",,"(338,829)",,"(825,239)",
18,9. 투자부동산 및 유형자산의 처분,1477,,2752,,11195,,1022340,
19,10. 무형자산의 취득,"(49,385)",,"(60,477)",,"(286,261)",,"(176,213)",
20,11. 무형자산의 처분,107,,1426,,89787,,48930,
21,12. 사업결합,-,,-,,-,,"(983,438)",
22,13. 연결범위변동,8567,,"(2,291)",,"(26,007)",,20445,
23,14. 기타,"(1,942)",,11271,,6830,,"(23,913)",
24,,,,,,,,,
25,Ⅲ.재무활동으로부터의 현금흐름,,1997408,,1134192,,1558230,,552932
26,1.배당금 지급,"(398,677)",,"(255,017)",,"(255,018)",,"(446,095)",
27,2.자기주식의 취득,-,,-,,-,,"(541,994)",
28,3.차입금의 상환,"(3,645,000)",,"(5,475,000)",,"(10,575,000)",,"(14,187,116)",
29,4.차입금의 차입,4460930,,5647000,,10637000,,15165434,
30,5.사채의 발행,8506832,,18254057,,39536584,,38544260,
31,6.사채의 상환,"(7,135,133)",,"(17,106,417)",,"(38,232,267)",,"(37,624,400)",
32,7.비지배지분의 증감,208456,,69569,,446931,,"(357,157)",
33,Ⅳ.현금및현금성자산의 순감소,,"(653,030)",,"(2,437,144)",,"(668,903)",,2453237
34,Ⅴ.기초의 현금및현금성자산,,4055552,,4723503,,4723503,,2276606
35,Ⅵ.외화표시 현금 및 현금성자산에 대한 환율변동효과,,(62),,360,,952,,"(6,340)"
36,Ⅶ.분기말의 현금및현금성자산,,"3,402,460===========",,"2,286,719===========",,"4,055,552===========",,"4,723,503==========="
