,과 목,주 석,제 70(당) 반기,제 69(전)기
0,자 산,,,
1,I. 현금및현금성자산,567,1758993966902,582202676727
2,II. 예치금,567,600273854232,640407861669
3,III. 당기손익인식유가증권,568,3624913640682,3166915612787
4,IV. 매도가능유가증권,568,28810128814808,31327490114427
5,V. 만기보유유가증권,568,36290753797613,31529786313631
6,VI. 관계기업 및 공동기업투자,10,141939967108,146211489328
7,VII. 대출채권,5611,25997667988806,25426145302107
8,VIII. 유형자산,1314,1864028888351,1818763153295
9,IX. 투자부동산,1314,2478392235519,2488719058847
10,X. 무형자산,14,1259967563594,1321038751260
11,XI. 파생상품자산,5612,330128919598,1313852303600
12,XII. 순확정급여자산,21,13727249560,25248758114
13,XIII. 당기법인세자산,,3102786566,128059565272
14,XIV. 이연법인세자산,,16135832091,16738701923
15,XV. 기타금융자산,5615,1475407140092,1490620926517
16,XVI. 기타자산,16,2980569568167,2921837266592
17,XVII. 특별계정자산,20,21477943399744,21650434306713
18,자 산 총 계,,129124075613433,125994472162809
19,부 채,,,
20,I. 보험계약부채,"17, 18",92442331660283,90222047361395
21,II. 계약자지분조정,19,542712150286,659733892732
22,III. 당기법인세부채,,271739524346,21723608181
23,IV. 이연법인세부채,,516190217148,826008743050
24,V. 파생상품부채,5612,448434511346,26557244987
25,VI. 순확정급여부채,21,177955667552,178902304605
26,VII. 충당부채,22,15588367054,14194902599
27,VIII. 기타금융부채,5623,1633881585502,1631827914700
28,IX. 기타부채,24,136650539687,154560297416
29,X. 특별계정부채,20,21681862177705,22020813348181
30,부 채 총 계,,117867346400909,115756369617846
31,자 본,,,
32,지배기업의 소유주에게 귀속되는 자본,,,
33,I. 자본금,25,4342650000000,4342650000000
34,II. 기타불입자본,25,"(458,006,536,981)","(458,006,536,981)"
35,III. 신종자본증권,26,1558000197526,497930280000
36,IV. 기타자본구성요소,27,1026665182579,1239339355825
37,V. 이익잉여금,28,3850857629841,3729643338247
38,비지배지분,,936562739559,886546107872
39,자 본 총 계,,11256729212524,10238102544963
40,부 채 및 자 본 총 계,,129124075613433,125994472162809
