,과 목,자 본 금,기타불입자본,기타자본구성요소,이익잉여금,지배기업의소유주 귀속,비지배지분,총 계
0,2015.1.1(전기초),4342650000000,148609787390,2001793542843,2158507970133,8651561300366,599719532,8652161019898
1,I. 반기총포괄이익,,,,,,,
2,1. 반기순이익,-,-,-,421272257274,421272257274,"(52,161,835)",421220095439
3,2. 재평가잉여금의 대체,-,-,"(1,918,907,362)",1918907362,-,-,-
4,3. 유형자산재평가손익,-,-,7199067930,-,7199067930,-,7199067930
5,4. 매도가능금융자산평가손익,-,-,"(45,506,856,812)",-,"(45,506,856,812)",-,"(45,506,856,812)"
6,5. 관계기업의 기타포괄손익지분,-,-,26900347890,-,26900347890,-,26900347890
7,6. 위험회피목적파생상품평가손익,-,-,1318662928,-,1318662928,-,1318662928
8,7. 특별계정기타포괄손익,-,-,6521160937,-,6521160937,-,6521160937
9,8. 해외사업환산손익,-,-,1711266781,-,1711266781,"(27,457,576)",1683809205
10,II. 자본에 직접 인식된 주주와의 거래,,,,,,,
11,1. 자기주식의 취득,-,"(67,217,436,790)",-,-,"(67,217,436,790)",-,"(67,217,436,790)"
12,2. 연차배당,-,-,-,"(148,840,013,880)","(148,840,013,880)",-,"(148,840,013,880)"
13,2015.6.30 (전반기말),4342650000000,81392350600,1998018285135,2432859120889,8854919756624,520100121,8855439856745
14,2016.1.1 (당기초),4342650000000,"(439,086,941,120)",2196119786636,2542616435398,8642299280914,458118608,8642757399522
15,I. 반기총포괄손익,,,,,,,
16,1. 반기순이익,-,-,-,695285498578,695285498578,"(112,243,592)",695173254986
17,2. 유형자산재평가손익,-,-,7006118453,24759179,7030877632,-,7030877632
18,3. 매도가능금융자산평가손익,-,-,1046675286467,-,1046675286467,-,1046675286467
19,4. 관계기업의 기타포괄손익지분,-,-,"(64,707,394,967)","(10,708,162,232)","(75,415,557,199)",-,"(75,415,557,199)"
20,5. 위험회피목적파생상품평가손익,-,-,15089296053,-,15089296053,-,15089296053
21,6. 특별계정기타포괄손익,-,-,29523432523,-,29523432523,-,29523432523
22,7. 확정급여제도의 재측정요소,-,-,70932677,-,70932677,1351398,72284075
23,8. 해외사업환산손익,-,-,"(3,365,847,623)",-,"(3,365,847,623)",18141699,"(3,347,705,924)"
24,II. 자본에 직접 인식된 주주와의 거래,,,,,,,
25,1. 연차배당,-,-,-,"(135,250,245,000)","(135,250,245,000)",-,"(135,250,245,000)"
26,2. 연결범위의 변동,-,-,-,-,-,683725399156,683725399156
27,2016.6.30 (당반기말),4342650000000,"(439,086,941,120)",3226411610219,3091968285923,10221942955022,684090767269,10906033722291
