,과 목,제 68(당) 반기,제 67(전) 반기
0,Ⅰ. 영업활동으로 인한 현금흐름,2528705226629,4086618363494
1,1. 반기순이익,695173254986,421220095439
2,2. 조정(주석39),1936533583782,1514631408583
3,3. 영업활동으로 인한 자산ㆍ부채의 변동(주석39),"(1,511,126,901,197)",669363497808
4,4. 이자의 수취,1344972652982,1400753910791
5,5. 이자의 지급,"(4,662,426,217)","(6,271,141,296)"
6,6. 배당금의 수취,107669897194,147620511997
7,7. 법인세부담액,"(39,854,834,901)","(60,699,919,828)"
8,Ⅱ. 투자활동으로 인한 현금흐름,"(2,454,538,489,390)","(3,720,226,586,347)"
9,1. 매도가능금융자산의 처분,2418335122225,5356270912006
10,2. 위험회피목적 파생상품의 정산,"(131,747,428,950)","(50,121,271,426)"
11,3. 투자부동산 및 유형자산의 처분,24078160341,11003830614
12,4. 관계기업투자 처분,5833189770,2866253808
13,5. 관계기업투자 배당,9733904696,2026186108
14,6. 무형자산의 처분,338412675,1180000000
15,7. 예치보증금의 감소,76387226220,18665528688
16,8. 매도가능금융자산의 취득,"(4,697,744,281,185)","(9,019,563,995,355)"
17,9. 투자부동산 및 유형자산의 취득,"(14,157,196,522)","(29,062,023,180)"
18,10. 관계기업투자 취득,"(3,375,000,000)",-
19,11. 무형자산의 취득,"(13,625,336,181)","(6,957,665,738)"
20,12. 예치보증금의 증가,"(60,105,803,149)","(6,534,341,872)"
21,13. 사업결합으로 인한 현금흐름,"(68,489,459,330)",-
22,Ⅲ. 재무활동으로 인한 현금흐름,"(157,988,544,772)","(216,584,871,794)"
23,1. 자기주식의 취득,-,"(67,217,436,790)"
24,2. 배당금의 지급,"(135,250,245,000)","(148,840,013,880)"
25,3. 차입금의 상환,"(22,738,299,772)","(527,421,124)"
26,Ⅳ. 현금및현금성자산의 순증가(감소) (Ⅰ+Ⅱ+Ⅲ),"(83,821,807,533)",149806905353
27,Ⅴ. 기초 현금및현금성자산,759468922745,397823167947
28,Ⅵ. 외화표시 현금및현금성자산 환율변동효과,"(112,150,828)","(1,130,523)"
29,Ⅶ. 반기말 현금및현금성자산,675534964384,547628942777
