,과 목,주석,제 69(당) 반기,제 68(전) 반기
0,Ⅰ. 영업활동으로 인한 현금흐름,,1269590277775,2528705226629
1,1. 반기순이익,,554750544399,695173254986
2,2. 조정,42.0,1813050159426,1936533583782
3,3. 영업활동으로 인한 자산ㆍ부채의 변동,42.0,"(2,650,772,134,912)","(1,511,126,901,197)"
4,4. 이자의 수취,,1439732535894,1344972652982
5,5. 이자의 지급,,"(11,007,895,695)","(4,662,426,217)"
6,6. 배당금의 수취,,161253670264,107669897194
7,7. 법인세부담액,,"(37,416,601,601)","(39,854,834,901)"
8,Ⅱ. 투자활동으로 인한 현금흐름,,"(1,889,526,323,424)","(2,454,538,489,390)"
9,1. 매도가능금융자산의 처분,,5188781948656,2418335122225
10,2. 만기보유금융자산의 상환,,51947241928,-
11,3. 위험회피목적 파생상품의 정산,,"(24,098,783,706)","(131,747,428,950)"
12,4. 투자부동산 및 유형자산의 처분,,296924607025,24078160341
13,5. 관계기업투자 처분,,1445000000,5833189770
14,6. 관계기업투자 배당,,7731512444,9733904696
15,7. 무형자산의 처분,,1816937853,338412675
16,8. 예치보증금의 감소,,34851352773,76387226220
17,9. 매도가능금융자산의 취득,,"(4,506,002,761,235)","(4,697,744,281,185)"
18,10. 만기보유금융자산의 취득,,"(2,834,103,999,025)",-
19,11. 투자부동산 및 유형자산의 취득,,"(48,881,914,397)","(14,157,196,522)"
20,12. 관계기업투자 취득,,"(1,553,844,000)","(3,375,000,000)"
21,13. 무형자산의 취득,,"(19,089,271,339)","(13,625,336,181)"
22,14. 예치보증금의 증가,,"(39,294,350,401)","(60,105,803,149)"
23,15. 사업결합으로 인한 현금흐름,,-,"(68,489,459,330)"
24,Ⅲ. 재무활동으로 인한 현금흐름,,428608500418,"(157,988,544,772)"
25,1. 비지배지분의 증가,,29942080000,-
26,2. 신종자본증권의 발행,,497930280000,-
27,3. 배당금의 지급,,"(64,307,489,700)","(135,250,245,000)"
28,4. 차입금의 감소,,"(35,000,000,000)","(22,738,299,772)"
29,5. 차입금의 증가,,43630118,-
30,Ⅳ. 현금및현금성자산의 순감소(Ⅰ+Ⅱ+Ⅲ),,"(191,327,545,231)","(83,821,807,533)"
31,Ⅴ. 기초 현금및현금성자산,,851474072066,759468922745
32,Ⅵ. 외화표시 현금및현금성자산 환율변동효과,,395154584,"(112,150,828)"
33,Ⅶ. 반기말 현금및현금성자산,,660541681419,675534964384
