,과 목,주 석,제 72(당) 반기,제 72(당) 반기.1,제 71(전) 반기,제 71(전) 반기.1
0,Ⅰ. 영업활동으로 인한 현금흐름,,,1017368236649,,"(1,173,551,089,672)"
1,1. 반기순이익,,162726095404,,88721972118,
2,2. 조정,43.0,1362377878504,,1286620748051,
3,3. 영업활동으로 인한 자산ㆍ부채의 변동,43.0,"(2,225,215,734,837)",,"(3,836,345,709,145)",
4,4. 이자의 수취,,1418252550443,,1355502679238,
5,5. 이자의 지급,,"(12,373,114,763)",,"(15,362,385,257)",
6,6. 배당금의 수취,,248382945808,,300917000799,
7,7. 법인세부담액,,63217616090,,"(353,605,395,476)",
8,Ⅱ. 투자활동으로 인한 현금흐름,,,"(848,866,348,841)",,514760363671
9,1. 매도가능금융자산의 처분,,8995435500856,,5020140844491,
10,2. 만기보유금융자산의 상환,,-,,41430977886,
11,3. 위험회피목적파생상품의 정산,,-,,-,
12,4. 투자부동산 및 유형자산의 처분,,3610690155,,101007509624,
13,5. 무형자산의 처분,,2945500000,,-,
14,6. 관계기업투자의 처분,,5337000000,,1200000000,
15,7. 관계기업투자의 배당,,6697640381,,7367996951,
16,8. 예치보증금의 감소,,19750630470,,53061203557,
17,9. 기타금융부채의 증가,,-,,27374325109,
18,10. 비지배지분의 증가,,-,,33400000000,
19,11. 연결범위변동으로 인한 현금흐름,,-,,5675696379,
20,12. 매도가능금융자산의 취득,,"(9,080,749,350,310)",,"(3,900,026,711,629)",
21,13. 만기보유금융자산의 취득,,-,,"(463,725,046,339)",
22,14. 위험회피목적 파생상품의 정산,,"(693,007,606,089)",,"(284,922,844,629)",
23,15. 투자부동산 및 유형자산의 취득,,"(38,705,224,000)",,"(52,695,761,279)",
24,16. 관계기업투자의 취득,,"(7,850,092,909)",,"(2,156,979,514)",
25,17. 무형자산의 취득,,"(54,384,198,815)",,"(20,343,720,084)",
26,18. 예치보증금의 증가,,"(7,946,838,580)",,"(52,027,126,852)",
27,Ⅲ. 재무활동으로 인한 현금흐름,,,"(21,519,580,881)",,"(264,763,911,011)"
28,1. 비지배지분의 감소,,"(5,273,333,334)",,"(13,541,629,970)",
29,2. 임대보증금 증가,,6192766975,,-,
30,3. 임대보증금 감소,,"(4,596,345,699)",,-,
31,4. 신종자본증권 발행,,46521550,,-,
32,4. 신종자본증권 배당,,"(49,615,550,001)",,"(38,176,850,000)",
33,5. 배당금의 지급,,"(22,541,707,500)",,"(75,139,025,000)",
34,6. 자기주식의 처분,,2215,,-,
35,7. 차입금의 감소,,"(2,000,000,000)",,"(135,100,000,000)",
36,8. 차입금의 증가,,52759307367,,-,
37,9. 기타금융부채의 변동,,35900336818,,23712574590,
38,10. 리스부채의 감소,,"(32,391,579,272)",,"(26,518,980,631)",
39,Ⅳ. 현금및현금성자산의 순증가(감소)(Ⅰ+Ⅱ+Ⅲ),,,146982306927,,"(923,554,637,012)"
40,Ⅴ. 기초 현금및현금성자산,,,950704341946,,1838709692131
41,Ⅵ. 외화표시 현금및현금성자산 환율변동효과,,,"(1,974,569,895)",,5068443675
42,Ⅶ. 반기말 현금및현금성자산,,,1095712078978,,920223498794
