,매출액,총매출액,매출총이익(손실),판매비와관리비,인건비,퇴직급여충당금전입액,복리후생비,일반관리비,여비교통비,통신비,세금과공과,임차료비용,감가상각비,수선비,보험료,소모품비,도서인쇄비,차량유지비,교육훈련비,수수료비용,판매비,접대비,광고선전비,기타판매비와관리비,대손상각비,기타,영업이익(손실),영업외수익,이자수익,외환차익,"유,무형,리스자산처분이익",기타영업외수익,영업외비용,기부금,외환차손,기타영업외비용,법인세비용차감전계속사업이익(손실),계속사업이익(손실),당기순이익(손실)
2001-03-31,47560612000.0,47560612000.0,47560612000.0,43253954000.0,29141609000.0,5388531000.0,1233023000.0,12284817000.0,2051738000.0,297921000.0,967679000.0,1575893000.0,1069023000.0,36314000.0,676654000.0,126827000.0,1552072000.0,425010000.0,294461000.0,3211225000.0,236816000.0,215201000.0,21615000.0,1590712000.0,501784000.0,1088928000.0,4306658000.0,2121323000.0,573382000.0,752238000.0,7542000.0,788161000.0,470109000.0,30595000.0,61647000.0,171188000.0,5957872000.0,3945776000.0,3945776000.0
2002-03-31,58977242000.0,58977242000.0,58977242000.0,53605149000.0,38082451000.0,2742772000.0,1589522000.0,13399525000.0,2071487000.0,342489000.0,1388153000.0,2008004000.0,852248000.0,51281000.0,1366457000.0,172081000.0,1517530000.0,521869000.0,345963000.0,2734271000.0,247036000.0,222603000.0,24433000.0,1876137000.0,435512000.0,1440625000.0,5372093000.0,1640328000.0,802033000.0,245234000.0,19165000.0,551100000.0,610897000.0,44900000.0,226470000.0,260351000.0,6401524000.0,3395175000.0,3395175000.0
2003-03-31,63483117000.0,63483117000.0,63483117000.0,57838741000.0,39625140000.0,2327015000.0,1663083000.0,14217282000.0,1613630000.0,325761000.0,1490186000.0,2272723000.0,737147000.0,59760000.0,1480030000.0,164678000.0,1371229000.0,539978000.0,330825000.0,3831335000.0,622652000.0,595480000.0,27172000.0,3373667000.0,1630400000.0,1743268000.0,5644376000.0,1957390000.0,570205000.0,227384000.0,13004000.0,1075211000.0,460768000.0,47210000.0,316961000.0,95440000.0,7140998000.0,3606739000.0,3606739000.0
2004-03-31,57363443000.0,57363443000.0,57363443000.0,55908565000.0,39082907000.0,2234785000.0,1990816000.0,13935385000.0,1180811000.0,404690000.0,1877309000.0,2374565000.0,722129000.0,64521000.0,1834102000.0,172314000.0,1310352000.0,556883000.0,235920000.0,3192263000.0,621360000.0,605124000.0,16236000.0,2268913000.0,1062805000.0,1206108000.0,1454878000.0,1496226000.0,522944000.0,156287000.0,30345000.0,630650000.0,559684000.0,67170000.0,414265000.0,78204000.0,2391420000.0,720276000.0,720276000.0
2005-03-31,60691261000.0,60691261000.0,60691261000.0,59252050000.0,40984776000.0,2220165000.0,2565450000.0,15750725000.0,1576038000.0,406989000.0,1641810000.0,2158553000.0,781370000.0,54902000.0,2350309000.0,196445000.0,1209149000.0,619501000.0,274977000.0,4455177000.0,692594000.0,651126000.0,41468000.0,1823955000.0,644553000.0,1179402000.0,1439211000.0,1887620000.0,467418000.0,58363000.0,40685000.0,1320654000.0,1253467000.0,46130000.0,739490000.0,242805000.0,2073364000.0,679047000.0,679047000.0
2006-03-31,100250883000.0,100250883000.0,100250883000.0,96765137000.0,69264644000.0,3145776000.0,4501369000.0,23093329000.0,3009185000.0,811721000.0,2614663000.0,4148766000.0,1641152000.0,60137000.0,3417284000.0,315423000.0,1917413000.0,984817000.0,327443000.0,3700621000.0,1573988000.0,1557124000.0,16864000.0,2833176000.0,549133000.0,2284043000.0,3485746000.0,2336197000.0,445370000.0,66485000.0,14360000.0,1522005000.0,649311000.0,55130000.0,194674000.0,188079000.0,5172632000.0,2767515000.0,2767515000.0
2007-03-31,110715153000.0,110715153000.0,110715153000.0,110209074000.0,75374090000.0,4757244000.0,4922094000.0,28512148000.0,3278395000.0,2260174000.0,2929402000.0,4445171000.0,1929530000.0,80264000.0,3448080000.0,277291000.0,2005379000.0,1063643000.0,879434000.0,5707543000.0,1787819000.0,1730109000.0,57710000.0,4535017000.0,1186566000.0,3348451000.0,506079000.0,2542607000.0,341264000.0,192298000.0,9699000.0,1758260000.0,1710539000.0,73271000.0,210525000.0,1340738000.0,1338147000.0,555914000.0,555914000.0
2008-03-31,117761604000.0,117761604000.0,117761604000.0,117635785000.0,83296459000.0,4784361000.0,6375815000.0,30797630000.0,4091275000.0,1037740000.0,3418577000.0,4669531000.0,4167051000.0,62088000.0,4292742000.0,371253000.0,2020294000.0,1207861000.0,763540000.0,4428816000.0,2451111000.0,2416687000.0,34424000.0,1090585000.0,386470000.0,704115000.0,125819000.0,11472083000.0,398823000.0,247296000.0,33269000.0,8280597000.0,9692417000.0,226022000.0,232275000.0,8297267000.0,1905485000.0,1905485000.0,1905485000.0
2009-03-31,120294176000.0,120294176000.0,120294176000.0,119331096000.0,85708877000.0,4129922000.0,5791972000.0,30133777000.0,3645128000.0,774241000.0,2923936000.0,4427547000.0,1799482000.0,30929000.0,4279802000.0,130649000.0,2013649000.0,1090472000.0,1025045000.0,7840903000.0,2256904000.0,2188489000.0,68415000.0,1231538000.0,1007414000.0,224124000.0,963080000.0,30342954000.0,282008000.0,1328342000.0,43069000.0,28313038000.0,30597713000.0,199634000.0,903292000.0,17034181000.0,708321000.0,708321000.0,708321000.0
2010-03-31,117642485000.0,117642485000.0,117642485000.0,112956863000.0,69478764000.0,4195492000.0,5094101000.0,40441373000.0,2733372000.0,761812000.0,2332946000.0,4574030000.0,564168000.0,54971000.0,3717750000.0,14181000.0,1621163000.0,804232000.0,924182000.0,22123101000.0,2743936000.0,2200614000.0,543322000.0,292790000.0,192408000.0,100382000.0,4685622000.0,17905137000.0,170852000.0,1799545000.0,93269000.0,14535360000.0,22183594000.0,183590000.0,2151619000.0,15652829000.0,407165000.0,401599000.0,401599000.0
