,기초자본금,기말자본금,기초이익잉여금,수정후이익잉여금,처분후이익잉여금,당기순손익,기말이익잉여금
2008-03-31,5115000000.0,5115000000.0,10403442000.0,10403442000.0,10403442000.0,1905485000.0,12308927000.0
2009-03-31,5115000000.0,5115000000.0,12308926000.0,12308926000.0,12308926000.0,708321000.0,13017247000.0
2010-03-31,5115000000.0,5115000000.0,13017248000.0,13017248000.0,13017248000.0,401599000.0,13418847000.0
2014-03-31,5115000000.0,5115000000.0,14921523000.0,14921523000.0,14921523000.0,501382000.0,15422905000.0
2015-03-31,5115000000.0,5115000000.0,15422905000.0,15422905000.0,15422905000.0,1326204000.0,16749109000.0
2016-03-31,5115000000.0,5115000000.0,16749109000.0,16749109000.0,16749109000.0,3147759000.0,19896869000.0
2017-03-31,5115000000.0,5115000000.0,19896869000.0,19896869000.0,19896869000.0,4896321000.0,24793190000.0
2018-03-31,5115000000.0,5115000000.0,24793190000.0,24793190000.0,24793190000.0,1549838000.0,26343027000.0
2019-06-30,9015000000.0,9015000000.0,27739562000.0,27739562000.0,27739562000.0,-3320775000.0,24418787000.0
2020-06-30,9015000000.0,9015000000.0,24418787000.0,24418787000.0,24418787000.0,3388625000.0,27807413000.0
