,총자본영업이익율,총자본법인세비용차감전순이익율,총자본순이익율,기업법인세비용차감전순이익율,기업순이익율,경영자본영업이익율,자기자본법인세비용차감전순이익율,자기자본순이익율,자본금법인세비용차감전순이익율,자본금순이익율,매출액법인세비용차감전순이익율,매출액순이익율,매출액총이익율,매출액영업이익율,수지비율,감가상각율,EBIT대매출액(세전이익),자기자본비율,유동비율,당좌비율,현금비율,비유동자산비율,비유동자산장기적합율,부채비율,유동부채비율,순운전자본/총자본비율,적립금비율,유보액/총자산비율,유보액/납입자본비율,총자본회전율,자기자본회전율,자본금회전율,순운전자본회전율,경영자본회전율,비유동자산회전율,유형자산회전율,매출채권회전율,순영업자본회전율,매출액(종업원1인당),법인세비용차감전순이익(종업원1인당),순이익(종업원1인당),노동장비율(종업원1인당),자본집약도(종업원1인당)
2001-03-31,1607.0,2223.0,1472.0,23.0,1549.0,195.0,6131.0,406.0,1174.0,7775.0,1253.0,83.0,100.0,906.0,8801.0,5028.0,1296.0,3822.0,16372.0,16372.0,6471.0,4067.0,321.0,16166.0,13498.0,3287.0,5351.0,2045.0,11509.0,177.0,489.0,937.0,582.0,215.0,815.0,4242.0,687.0,687.0,98673470.0,12360730.0,8186260.0,2325910.0,55605820.0
2002-03-31,182.0,2169.0,115.0,2195.0,1176.0,2055.0,5434.0,2882.0,12515.0,6638.0,1085.0,576.0,100.0,911.0,8944.0,467.0,1099.0,4152.0,16294.0,16294.0,329.0,3512.0,3065.0,14087.0,12627.0,33.0,5927.0,2461.0,14552.0,2.0,501.0,1153.0,607.0,226.0,1328.0,5564.0,356.0,356.0,105128770.0,11410920.0,6052010.0,1889390.0,52617010.0
2003-03-31,184.0,2328.0,1176.0,2328.0,1176.0,2104.0,5102.0,2577.0,13961.0,7051.0,1125.0,568.0,100.0,889.0,8909.0,4289.0,1125.0,4965.0,16522.0,16522.0,4908.0,3385.0,3385.0,10141.0,10141.0,3284.0,6686.0,332.0,20175.0,207.0,454.0,1241.0,629.0,237.0,1318.0,6497.0,329.0,329.0,112359500.0,12638930.0,6383610.0,1729350.0,54279520.0
2004-03-31,47.0,772.0,233.0,772.0,233.0,543.0,1461.0,44.0,4675.0,1408.0,417.0,126.0,100.0,254.0,9594.0,4693.0,417.0,5611.0,21432.0,21432.0,5799.0,2866.0,2643.0,7822.0,6979.0,4476.0,7044.0,3952.0,23826.0,185.0,35.0,1121.0,478.0,214.0,1127.0,6381.0,3.0,3.0,100110720.0,4173510.0,1257030.0,1568840.0,54034800.0
2005-03-31,438.0,631.0,207.0,631.0,207.0,504.0,1168.0,383.0,4053.0,1328.0,342.0,112.0,100.0,237.0,9669.0,3636.0,342.0,5212.0,19478.0,19478.0,6228.0,3248.0,2952.0,9187.0,8183.0,4042.0,7189.0,3747.0,25572.0,185.0,342.0,1187.0,435.0,213.0,1117.0,5557.0,304.0,304.0,65612170.0,2241470.0,734100.0,1180730.0,35539080.0
2006-03-31,806.0,1196.0,64.0,1196.0,64.0,925.0,2877.0,1539.0,10113.0,5411.0,516.0,276.0,100.0,348.0,9496.0,3814.0,516.0,3445.0,13485.0,13485.0,3108.0,5212.0,4586.0,19025.0,17659.0,212.0,712.0,2453.0,24726.0,232.0,558.0,196.0,801.0,266.0,1322.0,4976.0,375.0,375.0,91054390.0,4698120.0,2513640.0,1829890.0,39266930.0
2007-03-31,96.0,255.0,106.0,265.0,116.0,111.0,804.0,334.0,2616.0,1087.0,121.0,5.0,100.0,46.0,9882.0,4566.0,126.0,2906.0,12473.0,12473.0,1376.0,6052.0,5184.0,24409.0,22734.0,1634.0,6704.0,1948.0,20339.0,211.0,665.0,2165.0,1127.0,243.0,1187.0,4466.0,313.0,313.0,110715150.0,1338150.0,555910.0,2479060.0,52476070.0
2008-03-31,23.0,351.0,351.0,376.0,376.0,27.0,1157.0,1157.0,3725.0,3725.0,162.0,162.0,100.0,11.0,9853.0,4314.0,173.0,3163.0,11466.0,11466.0,966.0,872.0,7486.0,2162.0,19971.0,926.0,7064.0,2234.0,24064.0,217.0,715.0,2302.0,1703.0,257.0,958.0,3023.0,333.0,333.0,95353530.0,1542900.0,1542900.0,3153780.0,43923710.0
2009-03-31,175.0,129.0,129.0,177.0,177.0,208.0,398.0,398.0,1385.0,1385.0,59.0,59.0,100.0,8.0,9953.0,617.0,81.0,3294.0,1257.0,1257.0,789.0,503.0,4927.0,20358.0,20149.0,1706.0,7179.0,2365.0,25449.0,218.0,677.0,2352.0,166.0,26.0,989.0,364.0,417.0,417.0,141522560.0,833320.0,833320.0,3888380.0,64788410.0
2010-03-31,853.0,74.0,73.0,178.0,177.0,995.0,222.0,219.0,796.0,785.0,35.0,34.0,100.0,398.0,997.0,5524.0,83.0,3378.0,13113.0,13113.0,915.0,4413.0,4246.0,19607.0,19214.0,202.0,724.0,2445.0,26234.0,214.0,642.0,23.0,1149.0,25.0,136.0,14948.0,513.0,513.0,150054190.0,519340.0,512240.0,1003810.0,70100950.0
