Financial Statements - Income statement,,,,,,Report as of : 2021-02-14,,,
,,,,,,,,,
안진회계법인,,,,,,"2014 ~ 2020, Standard Form",,,
"066262,  General",,,,,,KRW,,,
,,,,,,,,,
,Report,2014/Annual,2015/Annual,2016/Annual,2017/Annual,2018/Annual,2018/Annual,2019/Annual,2020/Annual
Code,Account,20140331,20150331,20160331,20170331,20180331,20180531,20190531,20200531
102000,감사의견,-,-,-,-,-,-,-,-
121000,매출액,"281,221,099,000.","292,105,126,000.","300,610,837,000.","308,999,227,000.","291,912,065,000.","69,767,330,000.","324,661,397,000.","345,342,194,000."
121100,     총매출액,"281,221,099,000.","292,105,126,000.","300,610,837,000.","308,999,227,000.","291,912,065,000.","69,767,330,000.","324,661,397,000.","345,342,194,000."
121120,          제품매출액,"281,221,099,000.","292,105,126,000.","300,610,837,000.","308,999,227,000.","291,912,065,000.","69,767,330,000.","324,661,397,000.","345,342,194,000."
121180,          [기타수입],"281,221,099,000.","292,105,126,000.","300,610,837,000.","308,999,227,000.","291,912,065,000.","69,767,330,000.","324,661,397,000.","345,342,194,000."
123000,매출총이익(손실),"281,221,099,000.","292,105,126,000.","300,610,837,000.","308,999,227,000.","291,912,065,000.","69,767,330,000.","324,661,397,000.","345,342,194,000."
124000,판매비와관리비,"279,024,413,000.","287,926,269,000.","296,021,250,000.","323,938,917,000.","296,059,561,000.","64,140,499,000.","324,789,391,000.","339,677,697,000."
124100,     인건비,"189,263,163,000.","185,876,342,000.","188,482,458,000.","214,959,502,000.","192,935,068,000.","38,929,340,000.","202,149,364,000.","217,122,021,000."
124120,          급료와임금,"134,389,191,000.","131,690,900,000.","130,235,521,000.","180,375,380,000.","152,159,371,000.","33,320,148,000.","167,657,439,000.","182,239,713,000."
124130,          제수당,"2,325,579,000.","2,235,110,000.","2,496,980,000.",,,,,
124140,          상여금,"15,329,213,000.","16,758,336,000.","23,638,731,000.",,,,,
124150,          퇴직급여충당금전입액,"20,460,136,000.","18,344,997,000.","16,795,154,000.","17,462,056,000.","24,017,224,000.","2,945,615,000.","18,196,128,000.","21,061,679,000."
124170,          복리후생비,"16,759,044,000.","16,846,998,000.","15,316,073,000.","17,122,066,000.","16,758,473,000.","2,663,577,000.","16,295,797,000.","13,820,629,000."
124200,     일반관리비,"84,724,902,000.","96,750,928,000.","102,657,179,000.","103,418,661,000.","99,487,189,000.","23,838,255,000.","118,994,472,000.","119,038,108,000."
124211,          여비교통비,"9,006,295,000.","9,954,822,000.","9,366,850,000.","9,789,404,000.","8,125,798,000.","1,172,698,000.","8,295,373,000.","7,528,344,000."
124212,          통신비,"3,470,092,000.","3,302,019,000.","3,202,224,000.","3,125,107,000.","2,871,800,000.","416,073,000.","2,814,813,000.","2,807,175,000."
124214,          세금과공과,"7,075,162,000.","6,967,116,000.","7,155,657,000.","7,450,360,000.","7,145,563,000.","918,581,000.","6,888,779,000.","7,536,607,000."
124215,          임차료비용,"10,081,400,000.","10,205,540,000.","10,410,538,000.","13,006,899,000.","12,986,112,000.","2,192,279,000.","13,075,131,000.","13,131,536,000."
124216,          감가상각비,"3,034,117,000.","2,911,580,000.","2,770,768,000.","2,432,542,000.","1,487,534,000.","236,396,000.","1,305,300,000.","1,485,806,000."
124218,          보험료,"9,217,661,000.","8,935,225,000.","9,768,889,000.","10,580,349,000.","11,504,134,000.","1,538,133,000.","11,927,230,000.","12,759,981,000."
124220,          소모품비,"560,620,000.","1,522,839,000.","1,954,810,000.","718,073,000.","1,826,191,000.","118,434,000.","592,580,000.","603,141,000."
124221,          도서인쇄비,"2,983,966,000.","2,316,993,000.","2,248,247,000.","2,110,127,000.","1,462,991,000.","674,579,000.","1,343,275,000.","1,229,241,000."
124222,          차량유지비,"3,497,527,000.","3,684,882,000.","3,729,952,000.","3,839,062,000.","3,274,236,000.","563,913,000.","3,501,446,000.","3,979,702,000."
124223,          교육훈련비,"1,757,746,000.","1,618,191,000.","1,234,097,000.","1,699,846,000.","1,592,662,000.","123,081,000.","1,740,850,000.","1,808,179,000."
124224,          수수료비용,"29,264,104,000.","40,616,364,000.","45,942,059,000.","43,953,048,000.","42,171,298,000.","14,960,703,000.","60,511,539,000.","58,239,372,000."
