,item_code,title,ori_price,dis_price,discount_percent,provider,num,main_category,sub_category,item_ranking
0,101481811,[상우산업]에칭 300 전신거울 / 벽걸이거울 / 무료배송,18900,18600,1,(주)루미나스거울나라,7079,가구/침구,가구,79
1,102001982,북유럽 암막커튼 중형 거실 창문 커텐 150X232 2장,39800,36620,7,(커텐클럽),7230,가구/침구,커튼/블라인드,30
2,103164270,[브라이튼]압도적 판매1위 브라이튼 이민가방 국산 여행용캐리어,66000,19900,69,브라이튼몰,1804,신발/잡화,여행가방,4
3,104914497,[박스바다]튼튼한 택배박스 자체생산/박스 포장박스 BOX,30000,30000,0,박스바다,6333,생활/주방/건강,문구/사무용품,33
4,106799777,면장갑100켤레/목장갑/반코팅/코팅/예식/작업용장갑,13900,12040,13,[장갑나라],6567,생활/주방/건강,공구설비/자재,67
5,106851199,[신세계상품권]신용카드/현대/롯데/신세계백화점상품권/10만원,94900,94900,0,상품권가게.,11462,e쿠폰/티켓,ALL,44
6,106851199,[신세계상품권]신용카드/현대/롯데/신세계백화점상품권/10만원,94900,94900,0,상품권가게.,11820,e쿠폰/티켓,상품권,2
7,106975368,간장꽃게장3.2kg(특)알배기/간장게장/반찬/여수,104800,99560,5,김영미게장,4577,식품,김치/반찬,77
8,107029865,[현대농산]서리태(속청) 2kg /2020년산,35000,24500,30,[현대농산],4261,식품,쌀/잡곡,61
9,107101155,간장꽃게장/양념꽃게장/돌게장/간장게장/반찬/여수,44800,44800,0,김영미게장,4526,식품,김치/반찬,26
10,107504681,3만원권/LGU+원터치/무료접속/양방향/국제전화카드,30000,30000,0,키위콜,11900,e쿠폰/티켓,상품권,82
11,108121559,[플라고]이민가방 실속형 3단 C-02,24200,22030,8,플라고,1863,신발/잡화,여행가방,63
12,108176425,[이고진]런닝머신 V2 아파트형 자동경사 층간진동흡수,676000,642200,5,코리아휘트니스,7665,스포츠/자동차,휘트니스/수영,49
13,109149636,[롯데상품권]신용카드/현대/롯데/신세계백화점상품권/5만원,47450,47450,0,상품권가게.,11832,e쿠폰/티켓,상품권,14
14,1100072078,무선공유기 전자파 차단 공유기 전자파 완벽 차단용품,37000,33670,9,오토정보통신,3855,유아동/출산,임부복/용품,55
15,1100099515,순둥이네화분/대형화분/시멘트/독일토분/마블/도자기,39800,39800,0,순둥이네화분,6248,생활/주방/건강,악기/취미/원예용품,48
16,1100179116,휠러 RWC-650  카본 프레임/휠 시마노 울테그라 22단,5500000,5170000,6,클릭바이크,8001,스포츠/자동차,자전거/보드/기타레저,85
17,1101010449,[팸퍼스]팸퍼스 베이비드라이 기저귀 파우더향 2~6단계,54900,52400,4,AKmall,2990,유아동/출산,기저귀,90
18,1101177736,[맥심]맥심 화이트골드 커피믹스 400T : 연아의 커피 ~,51200,46940,8,큐마트솔루션,4086,식품,ALL,86
19,1101177736,[맥심]맥심 화이트골드 커피믹스 400T : 연아의 커피 ~,51200,46940,8,큐마트솔루션,4614,식품,생수/커피/음료,14
20,1101182286,[맥심]맥심 모카골드 커피믹스 400T : 커피는 맥심 ~,53700,49230,8,큐마트솔루션,4625,식품,생수/커피/음료,25
21,1101663763,[아비노 베이비]더멕사 아토 크림 206g 2개,36400,21900,39,스마일배송,2838,유아동/출산,ALL,38
22,1101663763,[아비노 베이비]더멕사 아토 크림 206g 2개,36400,21900,39,스마일배송,3621,유아동/출산,출산/유아용품,21
23,1101690682,[로제타스톤](임직원 전용) 가장 강력한 영어 학습 솔루션 카탈리스트 2개월 학습권,460000,98600,78,로제타스톤코리아,11707,e쿠폰/티켓,온라인컨텐츠,89
24,1102138409,[뉴트로지나]뉴트로지나 릴랙싱 바디 로션 450ml 3개,45600,26900,41,스마일배송,2594,화장품/헤어,바디클렌져/바디로션,94
25,110348976,[철이네홍삼]철이네홍삼/ 지강인 고려홍삼정(240g).6년근 홍삼,84500,82000,2,철이네홍삼,5130,식품,정관장/홍삼,30
26,1103681365,[맥심]모카골드 커피믹스 160T+160T +에코백 증정,46000,34800,24,이티마트,154,ALL,ALL,154
27,1103681365,[맥심]모카골드 커피믹스 160T+160T +에코백 증정,46000,34800,24,이티마트,4037,식품,ALL,37
28,1103681365,[맥심]모카골드 커피믹스 160T+160T +에코백 증정,46000,34800,24,이티마트,4605,식품,생수/커피/음료,5
29,1103688403,[맥심]화이트골드 커피믹스 160Tx2 +런치백증정,44000,32900,25,이티마트,175,ALL,ALL,175
30,1103688403,[맥심]화이트골드 커피믹스 160Tx2 +런치백증정,44000,32900,25,이티마트,4095,식품,ALL,95
31,1103688403,[맥심]화이트골드 커피믹스 160Tx2 +런치백증정,44000,32900,25,이티마트,4617,식품,생수/커피/음료,17
32,1103709000,[맥심]모카골드 커피믹스 400T  /국민커피,53700,49230,8,이티마트,4680,식품,생수/커피/음료,80
33,1103712505,[맥심]화이트골드 커피믹스 400T /연아의커피,51200,46940,8,이티마트,4696,식품,생수/커피/음료,96
34,1103767026,[매일유업]매일 상하치즈 아기치즈 2단계 80매/치즈,24100,21900,9,매일유업공식판매업체,3017,유아동/출산,분유/이유식,17
35,1103846378,[COX]COX CKM500 게이밍 키보드 마우스 콤보 유선세트,21570,20500,4,스마일배송,8629,컴퓨터/전자,컴퓨터/용품,13
36,1104140778,[쥴리안느]쥴리안느 천연제모제 슈가왁싱350g/제모 왁스/제모기,23900,21510,10,스마일배송,2738,화장품/헤어,제모/데오드란트/슬리밍,38
37,1104508929,(2월 재입고 /예약주문) 엔시티 드림 (NCT Dream) / We Young (미니앨범 1집),13400,13400,0,음반몰,10827,도서/음반,음반,11
38,1104608924,[템포]템포 슈퍼 20Px5개+라이너 30P,35900,33030,7,내추럴트리,6164,생활/주방/건강,위생용품,64
39,1104640734,[고철남홍삼]1+1 어린이 전체식홍삼 꿀먹은아이홍삼 20ml x 30포,39900,39900,0,고철남공식스토어,5151,식품,정관장/홍삼,51
40,1105007566,[엠지텍]블루투스스피커/MGTEC GB770PLUS/120W/리얼우퍼,94520,89800,4,주식회사엠지텍,9588,컴퓨터/전자,MP3/스피커,72
41,1105089097,당일배송 노스필 기름통 10L,31500,31500,0,칠방,8061,스포츠/자동차,캠핑/낚시,45
42,1105146337,[비버리힐스폴로클럽]1+1 프라임옴므 남성용 스킨로션 2종세트(세트+세트),24800,23610,4,스마일배송,2270,화장품/헤어,남성화장품,70
43,1105187155,[동서가구]동서가구 다니엘 1인 리클라이너 침대의자,101000,89470,11,신세계몰,7045,가구/침구,가구,45
44,1105487607,[브라운]브라운체온계 IRT-6520 귀체온계/필터21개포함 /국내AS,92000,92000,0,잠스쿨공식몰,6696,생활/주방/건강,건강/의료용품,96
45,1105705076,[조메이]Q666 Z688 DSLR 미러리스 볼헤드삼각대 모노포드겸용,76000,68700,9,★진영테크★,9297,컴퓨터/전자,카메라,81
46,1106081265,오므론/전자자동혈압계/7120/팔뚝형,62500,59750,4,더마코리아,6640,생활/주방/건강,건강/의료용품,40
47,1106233894,군인가방 40L 모음전 - 군대가방 군인선물 로카백팩,19900,18910,4,군화와고무신,1569,신발/잡화,가방/지갑,69
48,1106786222,[삼성전자]삼성 마이크로SD카드 128GB EVO PLUS U3 메모리카드,17700,16640,5,스마일배송,8900,컴퓨터/전자,저장장치 ,84
49,1106822306,지쿱 GAP인증 모듬 쌈채소 8종 1kg 6종 변경,11000,10480,4,지쿱몰,5290,식품,채소,90
50,1107154059,은박 호일 풍선 숫자 알파벳 이니셜 골드 실버 하트,690,690,0,PARTYZZANG,6287,생활/주방/건강,악기/취미/원예용품,87
51,1107156735,(현대Hmall)[판도라사랑] 판도라 참팔찌 균일가 13스타일 18종 택1,12000,11520,4,현대Hmall,1168,신발/잡화,브랜드 쥬얼리/시계,68
52,1107162855,[프롬산타]3+1 양말/롱삭스/수면 남자여자학생스니커즈덧신겨울,23000,6900,70,프롬산타양말,931,신발/잡화,ALL,31
53,1107162855,[프롬산타]3+1 양말/롱삭스/수면 남자여자학생스니커즈덧신겨울,23000,6900,70,프롬산타양말,1612,신발/잡화,잡화/액세서리,12
54,1107623793,[카페베네]자몽차1kg+레몬차1kg,25800,12900,50,카페베네직영온라인,4663,식품,생수/커피/음료,63
55,110764880,도너츠 6종세트(총15개) 당일생산 수제 팝핀도너츠특가,17800,8900,50,후레쉬빌,98,ALL,ALL,98
56,110764880,도너츠 6종세트(총15개) 당일생산 수제 팝핀도너츠특가,17800,8900,50,후레쉬빌,4032,식품,ALL,32
57,110764880,도너츠 6종세트(총15개) 당일생산 수제 팝핀도너츠특가,17800,8900,50,후레쉬빌,4713,식품,간편조리/간식,13
