iso2,Country_Flag
AD,https://www.countryflags.io/AD/flat/64.png
AE,https://www.countryflags.io/AE/flat/64.png
AF,https://www.countryflags.io/AF/flat/64.png
AG,https://www.countryflags.io/AG/flat/64.png
AI,https://www.countryflags.io/AI/flat/64.png
AL,https://www.countryflags.io/AL/flat/64.png
AM,https://www.countryflags.io/AM/flat/64.png
AN,https://www.countryflags.io/AN/flat/64.png
AO,https://www.countryflags.io/AO/flat/64.png
AQ,https://www.countryflags.io/AQ/flat/64.png
AR,https://www.countryflags.io/AR/flat/64.png
AS,https://www.countryflags.io/AS/flat/64.png
AT,https://www.countryflags.io/AT/flat/64.png
AU,https://www.countryflags.io/AU/flat/64.png
AW,https://www.countryflags.io/AW/flat/64.png
AX,https://www.countryflags.io/AX/flat/64.png
AZ,https://www.countryflags.io/AZ/flat/64.png
BA,https://www.countryflags.io/BA/flat/64.png
BB,https://www.countryflags.io/BB/flat/64.png
BD,https://www.countryflags.io/BD/flat/64.png
BE,https://www.countryflags.io/BE/flat/64.png
BF,https://www.countryflags.io/BF/flat/64.png
BG,https://www.countryflags.io/BG/flat/64.png
BH,https://www.countryflags.io/BH/flat/64.png
BI,https://www.countryflags.io/BI/flat/64.png
BJ,https://www.countryflags.io/BJ/flat/64.png
BL,https://www.countryflags.io/BL/flat/64.png
BM,https://www.countryflags.io/BM/flat/64.png
BN,https://www.countryflags.io/BN/flat/64.png
BO,https://www.countryflags.io/BO/flat/64.png
BQ,https://www.countryflags.io/BQ/flat/64.png
BR,https://www.countryflags.io/BR/flat/64.png
BS,https://www.countryflags.io/BS/flat/64.png
BT,https://www.countryflags.io/BT/flat/64.png
BV,https://www.countryflags.io/BV/flat/64.png
BW,https://www.countryflags.io/BW/flat/64.png
BY,https://www.countryflags.io/BY/flat/64.png
BZ,https://www.countryflags.io/BZ/flat/64.png
CA,https://www.countryflags.io/CA/flat/64.png
CC,https://www.countryflags.io/CC/flat/64.png
CD,https://www.countryflags.io/CD/flat/64.png
CF,https://www.countryflags.io/CF/flat/64.png
CG,https://www.countryflags.io/CG/flat/64.png
CH,https://www.countryflags.io/CH/flat/64.png
CI,https://www.countryflags.io/CI/flat/64.png
CK,https://www.countryflags.io/CK/flat/64.png
CL,https://www.countryflags.io/CL/flat/64.png
CM,https://www.countryflags.io/CM/flat/64.png
CN,https://www.countryflags.io/CN/flat/64.png
CO,https://www.countryflags.io/CO/flat/64.png
CR,https://www.countryflags.io/CR/flat/64.png
CU,https://www.countryflags.io/CU/flat/64.png
CV,https://www.countryflags.io/CV/flat/64.png
CW,https://www.countryflags.io/CW/flat/64.png
CX,https://www.countryflags.io/CX/flat/64.png
CY,https://www.countryflags.io/CY/flat/64.png
CZ,https://www.countryflags.io/CZ/flat/64.png
DE,https://www.countryflags.io/DE/flat/64.png
DJ,https://www.countryflags.io/DJ/flat/64.png
DK,https://www.countryflags.io/DK/flat/64.png
DM,https://www.countryflags.io/DM/flat/64.png
DO,https://www.countryflags.io/DO/flat/64.png
DZ,https://www.countryflags.io/DZ/flat/64.png
EC,https://www.countryflags.io/EC/flat/64.png
EE,https://www.countryflags.io/EE/flat/64.png
EG,https://www.countryflags.io/EG/flat/64.png
EH,https://www.countryflags.io/EH/flat/64.png
ER,https://www.countryflags.io/ER/flat/64.png
ES,https://www.countryflags.io/ES/flat/64.png
ET,https://www.countryflags.io/ET/flat/64.png
EU,https://www.countryflags.io/EU/flat/64.png
FI,https://www.countryflags.io/FI/flat/64.png
FJ,https://www.countryflags.io/FJ/flat/64.png
FK,https://www.countryflags.io/FK/flat/64.png
FM,https://www.countryflags.io/FM/flat/64.png
FO,https://www.countryflags.io/FO/flat/64.png
FR,https://www.countryflags.io/FR/flat/64.png
GA,https://www.countryflags.io/GA/flat/64.png
GB,https://www.countryflags.io/GB/flat/64.png
GD,https://www.countryflags.io/GD/flat/64.png
GE,https://www.countryflags.io/GE/flat/64.png
GF,https://www.countryflags.io/GF/flat/64.png
GG,https://www.countryflags.io/GG/flat/64.png
GH,https://www.countryflags.io/GH/flat/64.png
GI,https://www.countryflags.io/GI/flat/64.png
GL,https://www.countryflags.io/GL/flat/64.png
GM,https://www.countryflags.io/GM/flat/64.png
GN,https://www.countryflags.io/GN/flat/64.png
GP,https://www.countryflags.io/GP/flat/64.png
GQ,https://www.countryflags.io/GQ/flat/64.png
GR,https://www.countryflags.io/GR/flat/64.png
GS,https://www.countryflags.io/GS/flat/64.png
GT,https://www.countryflags.io/GT/flat/64.png
GU,https://www.countryflags.io/GU/flat/64.png
GW,https://www.countryflags.io/GW/flat/64.png
GY,https://www.countryflags.io/GY/flat/64.png
HK,https://www.countryflags.io/HK/flat/64.png
HM,https://www.countryflags.io/HM/flat/64.png
HN,https://www.countryflags.io/HN/flat/64.png
HR,https://www.countryflags.io/HR/flat/64.png
HT,https://www.countryflags.io/HT/flat/64.png
HU,https://www.countryflags.io/HU/flat/64.png
IC,https://www.countryflags.io/IC/flat/64.png
ID,https://www.countryflags.io/ID/flat/64.png
IE,https://www.countryflags.io/IE/flat/64.png
IL,https://www.countryflags.io/IL/flat/64.png
IM,https://www.countryflags.io/IM/flat/64.png
IN,https://www.countryflags.io/IN/flat/64.png
IO,https://www.countryflags.io/IO/flat/64.png
IQ,https://www.countryflags.io/IQ/flat/64.png
IR,https://www.countryflags.io/IR/flat/64.png
IS,https://www.countryflags.io/IS/flat/64.png
IT,https://www.countryflags.io/IT/flat/64.png
JE,https://www.countryflags.io/JE/flat/64.png
JM,https://www.countryflags.io/JM/flat/64.png
JO,https://www.countryflags.io/JO/flat/64.png
JP,https://www.countryflags.io/JP/flat/64.png
KE,https://www.countryflags.io/KE/flat/64.png
KG,https://www.countryflags.io/KG/flat/64.png
KH,https://www.countryflags.io/KH/flat/64.png
KI,https://www.countryflags.io/KI/flat/64.png
KM,https://www.countryflags.io/KM/flat/64.png
KN,https://www.countryflags.io/KN/flat/64.png
KP,https://www.countryflags.io/KP/flat/64.png
KR,https://www.countryflags.io/KR/flat/64.png
KW,https://www.countryflags.io/KW/flat/64.png
KY,https://www.countryflags.io/KY/flat/64.png
KZ,https://www.countryflags.io/KZ/flat/64.png
LA,https://www.countryflags.io/LA/flat/64.png
LB,https://www.countryflags.io/LB/flat/64.png
LC,https://www.countryflags.io/LC/flat/64.png
LI,https://www.countryflags.io/LI/flat/64.png
LK,https://www.countryflags.io/LK/flat/64.png
LR,https://www.countryflags.io/LR/flat/64.png
LS,https://www.countryflags.io/LS/flat/64.png
LT,https://www.countryflags.io/LT/flat/64.png
LU,https://www.countryflags.io/LU/flat/64.png
LV,https://www.countryflags.io/LV/flat/64.png
LY,https://www.countryflags.io/LY/flat/64.png
MA,https://www.countryflags.io/MA/flat/64.png
MC,https://www.countryflags.io/MC/flat/64.png
MD,https://www.countryflags.io/MD/flat/64.png
ME,https://www.countryflags.io/ME/flat/64.png
MF,https://www.countryflags.io/MF/flat/64.png
MG,https://www.countryflags.io/MG/flat/64.png
MH,https://www.countryflags.io/MH/flat/64.png
MK,https://www.countryflags.io/MK/flat/64.png
ML,https://www.countryflags.io/ML/flat/64.png
MM,https://www.countryflags.io/MM/flat/64.png
MN,https://www.countryflags.io/MN/flat/64.png
MO,https://www.countryflags.io/MO/flat/64.png
MP,https://www.countryflags.io/MP/flat/64.png
MQ,https://www.countryflags.io/MQ/flat/64.png
MR,https://www.countryflags.io/MR/flat/64.png
MS,https://www.countryflags.io/MS/flat/64.png
MT,https://www.countryflags.io/MT/flat/64.png
MU,https://www.countryflags.io/MU/flat/64.png
MV,https://www.countryflags.io/MV/flat/64.png
MW,https://www.countryflags.io/MW/flat/64.png
MX,https://www.countryflags.io/MX/flat/64.png
MY,https://www.countryflags.io/MY/flat/64.png
MZ,https://www.countryflags.io/MZ/flat/64.png
NA,https://www.countryflags.io/NA/flat/64.png
NC,https://www.countryflags.io/NC/flat/64.png
NE,https://www.countryflags.io/NE/flat/64.png
NF,https://www.countryflags.io/NF/flat/64.png
NG,https://www.countryflags.io/NG/flat/64.png
NI,https://www.countryflags.io/NI/flat/64.png
NL,https://www.countryflags.io/NL/flat/64.png
NO,https://www.countryflags.io/NO/flat/64.png
NP,https://www.countryflags.io/NP/flat/64.png
NR,https://www.countryflags.io/NR/flat/64.png
NU,https://www.countryflags.io/NU/flat/64.png
NZ,https://www.countryflags.io/NZ/flat/64.png
OM,https://www.countryflags.io/OM/flat/64.png
PA,https://www.countryflags.io/PA/flat/64.png
PE,https://www.countryflags.io/PE/flat/64.png
PF,https://www.countryflags.io/PF/flat/64.png
PG,https://www.countryflags.io/PG/flat/64.png
PH,https://www.countryflags.io/PH/flat/64.png
PK,https://www.countryflags.io/PK/flat/64.png
PL,https://www.countryflags.io/PL/flat/64.png
PM,https://www.countryflags.io/PM/flat/64.png
PN,https://www.countryflags.io/PN/flat/64.png
PR,https://www.countryflags.io/PR/flat/64.png
PS,https://www.countryflags.io/PS/flat/64.png
PT,https://www.countryflags.io/PT/flat/64.png
PW,https://www.countryflags.io/PW/flat/64.png
PY,https://www.countryflags.io/PY/flat/64.png
QA,https://www.countryflags.io/QA/flat/64.png
RE,https://www.countryflags.io/RE/flat/64.png
RO,https://www.countryflags.io/RO/flat/64.png
RS,https://www.countryflags.io/RS/flat/64.png
RU,https://www.countryflags.io/RU/flat/64.png
RW,https://www.countryflags.io/RW/flat/64.png
SA,https://www.countryflags.io/SA/flat/64.png
SB,https://www.countryflags.io/SB/flat/64.png
SC,https://www.countryflags.io/SC/flat/64.png
SD,https://www.countryflags.io/SD/flat/64.png
SE,https://www.countryflags.io/SE/flat/64.png
SG,https://www.countryflags.io/SG/flat/64.png
SH,https://www.countryflags.io/SH/flat/64.png
SI,https://www.countryflags.io/SI/flat/64.png
SJ,https://www.countryflags.io/SJ/flat/64.png
SK,https://www.countryflags.io/SK/flat/64.png
SL,https://www.countryflags.io/SL/flat/64.png
SM,https://www.countryflags.io/SM/flat/64.png
SN,https://www.countryflags.io/SN/flat/64.png
SO,https://www.countryflags.io/SO/flat/64.png
SR,https://www.countryflags.io/SR/flat/64.png
SS,https://www.countryflags.io/SS/flat/64.png
ST,https://www.countryflags.io/ST/flat/64.png
SV,https://www.countryflags.io/SV/flat/64.png
SX,https://www.countryflags.io/SX/flat/64.png
SY,https://www.countryflags.io/SY/flat/64.png
SZ,https://www.countryflags.io/SZ/flat/64.png
TC,https://www.countryflags.io/TC/flat/64.png
TD,https://www.countryflags.io/TD/flat/64.png
TF,https://www.countryflags.io/TF/flat/64.png
TG,https://www.countryflags.io/TG/flat/64.png
TH,https://www.countryflags.io/TH/flat/64.png
TJ,https://www.countryflags.io/TJ/flat/64.png
TK,https://www.countryflags.io/TK/flat/64.png
TL,https://www.countryflags.io/TL/flat/64.png
