expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100,,expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100
,,,,,,,,평균,1.980313923,5.600840497,11065.80124,16767.9043,367.8958597,1.274160276,6.310497238,4088.15337
,,,,,,,,표준편차,0.407997198,2.879595456,3117.012582,1259.412175,45.30783491,0.880800168,2.215212625,2683.119504
2.41,3.54571,6706.46,15302.705,372.27,0.0205,4.7,1710.75,,,,,,,,,
2.52,3.335,6733.45,15302.705,372.27,-0.09947,4.8,1670.57,,,,,,,,,
2.52652,3.25174,6748.35,15302.705,372.27,-0.01,4.7,1703.66,,,,,,,,,
2.58158,3.0605,6780.125,15302.705,372.27,0.10158,4.7,1700.71,,,,,,,,,
2.66409,3.0187,6792.62,15302.705,372.27,0.14182,4.6,1579.58,,,,,,,,,
2.57682,3.28091,6826.65,15302.705,372.27,-0.01545,4.6,1575.23,,,,,,,,,
2.5805,3.37048,6869.88,15326.368,375.33,-0.031,4.7,1509.43,,,,,,,,,
2.58565,3.41826,6901.25,15326.368,375.33,-0.02696,4.7,1579.73,,,,,,,,,
2.3995,3.42864,6926.525,15326.368,375.33,-0.05,4.5,1654.13,,,,,,,,,
2.31762,3.25227,6974.58,15456.928,379.17,-0.06667,4.4,1732.54,,,,,,,,,
2.30333,3.14,7011.65,15456.928,379.17,-0.14524,4.5,1791.25,,,,,,,,,
2.314,2.99667,7049.225,15456.928,379.17,-0.109,4.4,1756.9,,,,,,,,,
2.32286,2.76227,7093.08,15493.328,380.59,-0.11667,4.6,1792.28,,,,,,,,,
2.36211,2.6205,7110.75,15493.328,380.59,-0.12632,4.5,1761.65,,,,,,,,,
2.38773,2.86,7135.35,15493.328,380.59,-0.00909,4.4,1772.36,,,,,,,,,
2.4381,2.737,7212.94,15510.37066,380.34,0.02762,4.5,1867.75,,,,,,,,,
2.37273,2.57136,7229.6,15527.43207,380.34,-0.02,4.4,1928.19,,,,,,,,,
2.4119,2.61273,7258.325,15544.51224,380.34,0.12238,4.6,1934.1,,,,,,,,,
2.36762,3.34864,7292.3,15561.61121,376.08,0.18524,4.7,1932.06,,,,,,,,,
2.23652,4.31,7365.575,15578.72898,376.08,0.36174,4.6,1988.73,,,,,,,,,
2.26421,4.42429,7388.675,15595.86558,376.08,0.51,4.7,2091.11,,,,,,,,,
2.32545,4.16087,7401.32,15613.02103,374.88,0.56,4.7,2238.98,,,,,,,,,
2.3805,5.31091,7424.475,15630.19536,374.88,0.812,4.7,2089.1,,,,,,,,,
2.3085,5.6945,7456.1,15647.38857,374.88,0.9805,5,2084.93,,,,,,,,,
2.27524,6.79682,7485.175,15671.383,372.14,1.26857,5,1841.42,,,,,,,,,
2.3325,7.24524,7569.8,15671.383,372.14,1.7645,4.9,1745.27,,,,,,,,,
2.419,8.083,7638.42,15671.383,372.14,1.893,5.1,1781.93,,,,,,,,,
2.31273,7.39318,7686.025,15752.308,362.74,1.62773,5,1917.7,,,,,,,,,
2.42,6.68565,7692.8,15752.308,362.74,1.43429,5.4,2032.57,,,,,,,,,
2.47095,6.73095,7714.24,15752.308,362.74,1.32571,5.6,1837.09,,,,,,,,,
2.43864,7.7487,7759.4,15667.032,351.31,1.43455,5.8,1849.15,,,,,,,,,
2.20952,8.19909,7776.9,15667.032,351.31,1.46524,6.1,1872.54,,,,,,,,,
1.83619,9.19,7831.5,15667.032,351.31,1.61,6.1,1594.63,,,,,,,,,
1.06182,14.94261,7951.85,15328.027,348.08,2.20182,6.5,1334.78,,,,,,,,,
0.63833,17.95905,7983.025,15328.027,348.08,2.31389,6.8,1185.75,,,,,,,,,
0.24636,20.30955,8158.72,15328.027,348.08,1.59545,7.3,1211.65,,,,,,,,,
0.6055,16.73364,8258.225,15155.94,350.63,1.7105,7.8,1180.25,,,,,,,,,
1.11789,16.53619,8285.725,15155.94,350.63,1.89474,8.3,1116.99,,,,,,,,,
1.11045,17.83773,8351.82,15155.94,350.63,1.88818,8.7,1237.01,,,,,,,,,
1.35952,15.59667,8355.925,15134.117,341.4,2,9,1394.33,,,,,,,,,
1.576,12.50591,8413.8,15134.117,341.4,2.3635,9.4,1435.57,,,,,,,,,
1.85955,10.80591,8428.24,15134.117,341.4,2.53773,9.5,1477.25,,,,,,,,,
1.73955,10.27,8431.75,15189.222,332.45,2.54318,9.5,1603.36,,,,,,,,,
1.81333,8.97143,8432.46,15189.222,332.45,2.4719,9.6,1625.19,,,,,,,,,
1.76,8.45227,8431.225,15189.222,332.45,2.44571,9.8,1718.99,,,,,,,,,
1.90429,7.76304,8454.675,15356.058,329.93,2.43857,10,1667.13,,,,,,,,,
2.12737,7.5619,8485.68,15356.058,329.93,2.59947,9.9,1767.43,,,,,,,,,
2.22545,6.93636,8488.2,15356.058,329.93,2.71545,9.9,1860.31,,,,,,,,,
2.35842,6.22571,8440.075,15382.77754,325.97,2.80421,9.8,1741.04,,,,,,,,,
2.27211,6.73095,8489.65,15409.54357,325.97,2.83421,9.8,1818.68,,,,,,,,,
2.21913,6.12174,8491.98,15436.35618,325.97,2.7687,9.9,1958.34,,,,,,,,,
2.34591,5.59381,8517.325,15463.21544,323.04,2.78636,9.9,2000.63,,,,,,,,,
2.113,6.50095,8574.68,15490.12143,323.04,2.5895,9.6,1852.39,,,,,,,,,
1.94727,7.01682,8598.225,15517.07425,323.04,2.47955,9.4,1739.14,,,,,,,,,
1.77048,6.7787,8598.675,15544.07395,326.13,2.39476,9.4,1864,,,,,,,,,
1.67682,6.75591,8653.04,15571.12064,326.13,2.17818,9.5,1767.43,,,,,,,,,
1.73857,6.42136,8684.375,15598.21439,326.13,2.16762,9.5,1998.04,,,,,,,,,
