expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100
1.053159382,-0.713687227,-1.39856389,-1.163399348,0.09654269,-1.423319751,-0.727017,-0.886059442
1.322769077,-0.7868607,-1.389904958,-1.163399348,0.09654269,-1.559525447,-0.681874607,-0.901034548
1.338749578,-0.815774484,-1.38512474,-1.163399348,0.09654269,-1.457947356,-0.727017,-0.888701889
1.473701486,-0.88218659,-1.374930684,-1.163399348,0.09654269,-1.331267089,-0.727017,-0.889801355
1.675933266,-0.896702518,-1.370922038,-1.163399348,0.09654269,-1.285581358,-0.772159394,-0.934946568
1.462034739,-0.805644589,-1.360004533,-1.163399348,0.09654269,-1.464134911,-0.772159394,-0.936567815
1.471054409,-0.774539525,-1.346135485,-1.144610424,0.164080678,-1.481789313,-0.727017,-0.961091508
1.483677044,-0.757946917,-1.336071361,-1.144610424,0.164080678,-1.477202575,-0.727017,-0.934890662
1.027423911,-0.754342244,-1.327962635,-1.144610424,0.164080678,-1.503360608,-0.817301787,-0.907161745
0.826736259,-0.81559043,-1.31254563,-1.040943012,0.248834231,-1.522286581,-0.862444181,-0.877938298
0.791711508,-0.854578546,-1.300652832,-1.040943012,0.248834231,-1.611489561,-0.817301787,-0.856057051
0.817863649,-0.904352898,-1.28859802,-1.040943012,0.248834231,-1.570345154,-0.862444181,-0.868859314
0.839579484,-0.985753221,-1.274528459,-1.01204064,0.280175389,-1.579053146,-0.772159394,-0.85567317
0.935781125,-1.034985831,-1.268859569,-1.01204064,0.280175389,-1.590009093,-0.817301787,-0.867088986
0.998575674,-0.951814426,-1.260967397,-1.01204064,0.280175389,-1.456914204,-0.862444181,-0.863097364
1.122032404,-0.99452876,-1.236074973,-0.998508406,0.27465758,-1.415236192,-0.817301787,-0.827545462
0.961810716,-1.052050728,-1.230730111,-0.984961284,0.27465758,-1.469300669,-0.862444181,-0.805019444
1.057816277,-1.037684127,-1.221514557,-0.971399267,0.27465758,-1.307652198,-0.772159394,-0.802816784
0.94928612,-0.782123924,-1.210614697,-0.957822322,0.180634106,-1.236285273,-0.727017,-0.803577093
0.627960384,-0.448271473,-1.187106611,-0.944230449,0.180634106,-1.035899298,-0.772159394,-0.782456155
0.695828497,-0.40858187,-1.179695669,-0.930623625,0.180634106,-0.86757508,-0.727017,-0.744299077
0.845927567,-0.500059998,-1.1756389,-0.917001833,0.154148621,-0.810808515,-0.727017,-0.689187853
0.980854964,-0.100684454,-1.168210313,-0.903365051,0.154148621,-0.524705027,-0.727017,-0.745048205
0.804383164,0.032525229,-1.15806438,-0.889713277,0.154148621,-0.333401703,-0.59158982,-0.746602366
0.722862996,0.415329001,-1.148736538,-0.87066119,0.093673429,-0.006346816,-0.59158982,-0.837358667
0.863207097,0.571052263,-1.121587145,-0.87066119,0.093673429,0.556698036,-0.636732213,-0.87319382
1.075218357,0.861982018,-1.099572476,-0.87066119,0.093673429,0.702588108,-0.546447426,-0.85953062
0.814750882,0.622427535,-1.08429984,-0.806405023,-0.113796206,0.401418774,-0.59158982,-0.808929072
1.077669354,0.376722883,-1.082126284,-0.806405023,-0.113796206,0.181800287,-0.411020246,-0.766116965
1.202547663,0.39245426,-1.075247903,-0.806405023,-0.113796206,0.058526015,-0.320735459,-0.83897246
1.123355943,0.745889322,-1.060759672,-0.874115977,-0.366070455,0.182095474,-0.230450672,-0.834477692
0.561783459,0.902296709,-1.055145321,-0.874115977,-0.366070455,0.216938791,-0.095023491,-0.825760227
-0.353247334,1.246411018,-1.037628549,-0.874115977,-0.366070455,0.38128935,-0.095023491,-0.929337425
-2.251226053,3.244125658,-0.999017861,-1.143293143,-0.437360553,1.05320112,0.085546083,-1.026183652
-3.289198867,4.291647799,-0.989016297,-1.143293143,-0.437360553,1.180437699,0.220973263,-1.081727208
-4.249916248,5.10790829,-0.932649826,-1.143293143,-0.437360553,0.36477028,0.446685231,-1.072074265
-3.369665106,3.866098441,-0.900726631,-1.279933873,-0.381078896,0.495390146,0.672397198,-1.083777061
-2.113798639,3.797529781,-0.891904081,-1.279933873,-0.381078896,0.704563584,0.898109166,-1.107354095
-2.132034058,4.249516881,-0.870699483,-1.279933873,-0.381078896,0.697115811,1.07867874,-1.06262258
-1.52156418,3.471261729,-0.869382517,-1.297261799,-0.584796422,0.824068557,1.21410592,-1.003989337
-0.990972301,2.397930407,-0.850815059,-1.297261799,-0.584796422,1.236761485,1.394675494,-0.988619168
-0.295992039,1.807569703,-0.846182418,-1.297261799,-0.584796422,1.434570257,1.439817888,-0.97308501
-0.590111706,1.6214637,-0.845056339,-1.253507259,-0.782334,1.440757813,1.439817888,-0.926083749
-0.409277131,1.170507995,-0.844828557,-1.253507259,-0.782334,1.359831398,1.484960281,-0.917947697
-0.539988812,0.990218781,-0.84522477,-1.253507259,-0.782334,1.330097071,1.575245068,-0.88298839
-0.186334423,0.750869188,-0.837701541,-1.121035934,-0.837953519,1.321990805,1.665529855,-0.902316638
0.360434037,0.681019099,-0.827754516,-1.121035934,-0.837953519,1.504665612,1.620387462,-0.864934777
0.600827845,0.463787196,-0.82694605,-1.121035934,-0.837953519,1.636341336,1.620387462,-0.830318354
0.926736945,0.216999058,-0.842385513,-1.099820052,-0.925355621,1.737113342,1.575245068,-0.874770344
0.715191375,0.39245426,-0.826480861,-1.078567256,-0.925355621,1.771173281,1.575245068,-0.845833876
0.585337542,0.180893292,-0.82573335,-1.057277474,-0.925355621,1.696797727,1.620387462,-0.793782523
0.89607497,-0.002441488,-0.817602167,-1.035950652,-0.990024348,1.716847678,1.620387462,-0.778021019
0.325213207,0.312581929,-0.799201536,-1.014586724,-0.990024348,1.493346358,1.484960281,-0.833270142
-0.080990563,0.491728621,-0.791647829,-0.993185613,-0.990024348,1.368516682,1.394675494,-0.875478475
-0.514302362,0.40903645,-0.79150346,-0.971747278,-0.921824223,1.272251941,1.394675494,-0.828943089
-0.743862761,0.401122144,-0.77406208,-0.950271632,-0.921824223,1.026361888,1.439817888,-0.864934777
-0.592513683,0.28494263,-0.764009185,-0.92875862,-0.921824223,1.01437279,1.439817888,-0.778986313
0.085015479,0.141457197,-0.748682009,-0.907208169,-0.973691632,1.01026289,1.394675494,-0.731873242
0.285997251,0.09441934,-0.741312774,-0.885620233,-0.973691632,1.174885929,1.575245068,-0.73452687
